"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","138
002","","19","3.231","15.8","15.8","26.3","5.3","5.3",".",".","31.6",".",".",".",".",".",".",".","."
"","138
003","","13","3.167","7.7","7.7","53.8",".",".",".",".","23.1","7.7",".",".",".",".",".",".","."
"","004
138","","15","3.350","13.3","26.7","20.0","6.7",".",".",".","33.3",".",".",".",".",".",".",".","."
"","138
005","","14","3.625","28.6","50.0","7.1",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Golf I","Course Total","","72","3.311","15.3","25.0","26.4","4.2","2.8",".",".","23.6","1.4",".",".",".","1.4",".",".","."
"","140
001","","23","3.472","39.1","21.7","13.0",".",".",".","4.3","21.7",".",".",".",".",".",".",".","."
"","140
002","","24","3.794","50.0","12.5","8.3",".",".",".",".","29.2",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","","47","3.629","44.7","17.0","10.6",".",".",".","2.1","25.5",".",".",".",".",".",".",".","."
"Ice Skating II","145
001","","15","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Fitness Walking","149
001","","15","3.583","40.0","26.7","6.7",".","6.7",".",".","20.0",".",".",".",".",".",".",".","."
"Badminton I","155
001","","16","3.136","18.8","18.8","12.5",".","18.8",".",".","31.3",".",".",".",".",".",".",".","."
"","157
001","","23","3.750","26.1","26.1",".",".",".",".",".","47.8",".",".",".",".",".",".",".","."
"","157
002","","26","3.568","23.1","50.0","11.5",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","003
157","","12","3.818","58.3","33.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics in Fencing","Course Total","","61","3.678","31.1","37.7","4.9",".",".",".",".","26.2",".",".",".",".",".",".",".","."
"","162
001","","16","3.682","25.0","43.8",".",".",".",".",".","31.3",".",".",".",".",".",".",".","."
"","162
002","","17","3.450","23.5","17.6","5.9","11.8",".",".",".","41.2",".",".",".",".",".",".",".","."
"","162
003","","14","2.955","7.1","35.7","21.4",".","7.1",".","7.1","21.4",".",".",".",".",".",".",".","."
"Tennis I","Course Total","","47","3.359","19.1","31.9","8.5","4.3","2.1",".","2.1","31.9",".",".",".",".",".",".",".","."
"","001
163","","18","3.773","38.9","16.7","5.6",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","163
002","","14","3.786","35.7","7.1","7.1",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","003
163","","18","3.542","22.2","27.8","16.7",".",".",".",".","27.8",".",".",".",".",".","5.6",".","."
"Racquetball I","Course Total","","50","3.683","32.0","18.0","10.0",".",".",".",".","38.0",".",".",".",".",".","2.0",".","."
"Basketball I","170
001","","26","3.524","42.3","15.4","19.2",".",".","3.8",".","19.2",".",".",".",".",".",".",".","."
"Soccer I","173
001","","22","3.553","27.3","40.9","18.2",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"","175
001","","27","3.806","44.4","18.5","3.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","175
002","","32","3.286","12.5","28.1","15.6","3.1","6.3",".",".","34.4",".",".",".",".",".",".",".","."
"Volleyball I","Course Total","","59","3.526","27.1","23.7","10.2","1.7","3.4",".",".","33.9",".",".",".",".",".",".",".","."
"","201
001","","19","3.972","89.5","5.3",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","201
002","","19","3.357","36.8","21.1","5.3",".","5.3",".","5.3","26.3",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","38","3.703","63.2","13.2","2.6",".","2.6",".","2.6","15.8",".",".",".",".",".",".",".","."
"","211
001","","17","3.885","58.8","17.6",".",".",".",".",".","17.6","5.9",".",".",".",".",".",".","."
"","002
211","","22","3.889","68.2","9.1","4.5",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","39","3.887","64.1","12.8","2.6",".",".",".",".","17.9","2.6",".",".",".",".",".",".","."
"Golf II","238
001","","10","3.500",".","60.0",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Power Skating","244
001","","20","3.656","35.0","35.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","262
001","","17","3.500","47.1","17.6","5.9",".",".",".","5.9","11.8","5.9",".",".",".","5.9",".",".","."
"","262
002","","18","3.591","27.8","16.7","16.7",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","35","3.542","37.1","17.1","11.4",".",".",".","2.9","25.7","2.9",".",".",".","2.9",".",".","."
"Volleyball II","275
001","","27","3.609","40.7","25.9","14.8","3.7",".",".",".","14.8",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","277
001","","21","3.476","38.1","47.6","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Bicycling","295
001","","11","3.875","54.5","18.2",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","300
001","","22","3.393","18.2","36.4",".","4.5",".","4.5",".","31.8","4.5",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 96 of 399"
