"","996
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
041","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","12","",".",".",".",".",".",".",".","91.7",".",".",".","8.3",".",".",".","."
"BOTANY
208","Dept. Total","763","2.973","29.0","10.1","24.2","8.3","16.8","3.5","1.2","6.6",".",".",".","0.1","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","2.962","23.2","16.1","26.8","14.3","17.9",".","1.8",".",".",".",".",".",".",".",".","."
"Sophomore","","173","2.845","22.0","11.0","30.6","8.1","20.2","6.4","1.7",".",".",".",".",".",".",".",".","."
"Junior","","207","2.846","24.6","8.2","28.0","12.6","19.3","4.8","1.9",".",".",".",".",".",".","0.5",".","."
"Senior","","212","3.065","32.5","12.3","25.0","6.6","20.3","2.4","0.5","0.5",".",".",".",".",".",".",".","."
"Undergraduates","","648","2.920","26.4","11.0","27.6","9.6","19.8","4.0","1.4","0.2",".",".",".",".",".","0.2",".","."
"Special","","13","3.286","38.5","15.4","15.4","7.7",".","7.7",".","15.4",".",".",".",".",".",".",".","."
"Graduate","","102","3.881","44.1","3.9","3.9",".",".",".",".","46.1",".",".",".","1.0","1.0",".",".","."
"","Dept. Total","763","2.973","29.0","10.1","24.2","8.3","16.8","3.5","1.2","6.6",".",".",".","0.1","0.1","0.1",".","."
