"","990
077","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
082","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","34","",".",".",".",".",".",".",".","79.4",".",".",".","11.8","",".",".","8.8","."
"Advanced Independent Study","999
048","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".","",".",".","."
"PHM SCI
718","Dept. Total","1630","3.117","26.9","15.6","26.6","13.9","12.1","1.9","0.2","2.1",".",".",".","0.2","",".",".","0.4","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","2.648","14.3","7.1","35.7","14.3","7.1","7.1","7.1",".",".",".",".",".","",".",".",".","7.1"
"Sophomore","","25","3.039","20.0","12.0","44.0","8.0","12.0","4.0",".",".",".",".",".",".","",".",".",".","."
"Junior","","153","3.446","49.0","13.7","21.6","11.1","4.6",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","192","3.410","49.0","8.9","28.1","5.2","5.2","2.6",".","1.0",".",".",".",".","",".",".",".","."
"Undergraduates","","384","3.387","45.8","10.9","26.8","8.1","5.5","1.8","0.3","0.5",".",".",".",".","",".",".",".","0.3"
"Special","","4","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","109","3.686","45.9","6.4","5.5","0.9","0.9",".",".","30.3",".",".",".","3.7","",".",".","6.4","."
"Prof Yr 1","","237","2.958","14.3","21.5","26.6","21.9","13.1","2.5",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","533","3.066","22.1","15.9","28.0","15.0","17.1","1.7","0.2",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","344","3.007","16.6","20.1","30.5","17.2","14.0","1.5","0.3",".",".",".",".",".","",".",".",".","."
"Prof Yr 4","","19","2.263",".","5.3","31.6","15.8","26.3","21.1",".",".",".",".",".",".","",".",".",".","."
"Professionals","","1133","3.013","18.4","18.2","28.5","17.1","15.4","2.1","0.2",".",".",".",".",".","",".",".",".","."
"","Dept. Total","1630","3.117","26.9","15.6","26.6","13.9","12.1","1.9","0.2","2.1",".",".",".","0.2","",".",".","0.4","0.1"
