"NUR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COLLABORATIVE NURSING PRG Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","",""
"306
001
Narrative Anal-Nursing Prac","","9","3.556","44.4","22.2","33.3",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"317
003
Health Assessment","","7","3.357",".","71.4","28.6",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"341
003
Theoretical Foundations","","6","3.917","83.3","16.7",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"434
003
Nursing Research","","4","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"437
003
Mgmt & Leadershp in Nursing","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"444
003
Community Health Nursing","","10","3.900","90.0",".","10.0",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"490
020","","10","3.800","80.0","10.0",".","10.0",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"490
023","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"490
028","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Special Topics in Nursing","","14","3.679","71.4","14.3",".","7.1","7.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"519
001
Capstone Practicum for RN's","","3","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CNP
Dept. Total
691","","56","3.729","62.5","23.2","10.7","1.8","1.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","14","3.778","78.6","14.3",".",".","7.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","15","3.620","53.3","20.0","20.0","6.7",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","27","3.761","59.3","29.6","11.1",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","56","3.729","62.5","23.2","10.7","1.8","1.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","56","3.729","62.5","23.2","10.7","1.8","1.8","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
