"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201","001","119","3.525","49.6","25.2","14.3","5.0","3.4","0.8","0.8","0.8",".",".",".",".",".",".",".","."
"The African Storyteller","210","001","303","2.905","21.8","16.5","20.8","18.5","13.9","2.6","3.6","1.7","0.3",".",".",".",".","0.3",".","."
"Africa: Introductory Survey","277","001","36","2.764","13.9","5.6","38.9","13.9","25.0",".","2.8",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","16","3.344","25.0","43.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Hausa Verbal Arts in Translatn","306","001","27","3.352","70.4","3.7",".",".","18.5","3.7","3.7",".",".",".",".",".",".",".",".","."
"","321","001","12","3.009","50.0",".","16.7","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".","."
"","321","002","18","3.539","61.1","11.1","22.2",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","321","003","21","2.920","23.8","28.6","19.0",".","19.0","4.8","4.8",".",".",".",".",".",".",".",".","."
"First Semester Arabic","","Course Total","51","3.165","43.1","15.7","19.6","2.0","11.8","2.0","5.9",".",".",".",".",".",".",".",".","."
"","323","001","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","323","002","7","2.333",".","28.6",".","28.6","14.3",".","14.3",".",".",".",".",".","14.3",".",".","."
"Third Semester Arabic","","Course Total","21","3.100","28.6","23.8","14.3","14.3","9.5",".","4.8",".",".",".",".",".","4.8",".",".","."
"First Semester Swahili","331","001","24","3.422","37.5","33.3","8.3","20.8",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","11","3.050","9.1","27.3","36.4",".","18.2",".",".","9.1",".",".",".",".",".",".",".","."
"First Semester Xhosa","351","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Xhosa","353","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Hausa","361","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hausa","363","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","24","3.333","29.2","29.2","29.2","4.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","371","001","8","3.282","37.5","25.0","12.5",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Yoruba","373","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","14","3.462","35.7","28.6","14.3","14.3",".",".",".",".",".",".",".",".","7.1",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","445","001","9","3.563","55.6",".","22.2","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"Adv Studies-Hausa Lang-Gram","465","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500","001","25","3.781","68.0","24.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-African Mythology","955","001","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","15","",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".",".",".","."
"","999","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","","Course Total","2","***","","","","","","","","","","","","","","","",""
