"CONTINUING AND VOCATIONAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","",""
"515
Principles of Adult Education","001","","17","3.559","58.8","23.5","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"665
Career Dev Through Life Spn","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Special Proj&Prob","Course Total","","5","***","","","","","","","","","","","","","","","",""
"705
Leadership Dynamics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"720
Intro-Continuing & Voc Educ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Program Develop-Cont Educ","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Leadershp & Coord-Cont&Tech Ed","001","","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"814
Technol in Cont & Higher Educ","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","7","",".",".",".",".",".",".",".","85.7",".",".",".",".",".","14.3",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","074","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","30","",".",".",".",".",".",".",".","80.0","3.3",".",".","10.0",".","3.3","3.3","."
