"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"699","099","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","121","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","85","3.892","83.5","11.8","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"800
Poli Sci-Discipline&Profession","001","","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"804
Interdis W Europ Studies Sm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"816
Empir Method Pol Inquiry: Qual","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"818
Topics: Anal-Political Data","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"826
The Legislative Process","001","","9","3.688","33.3","55.6",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"831
Concepts-Political Theory","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"857
Intl Relations Theories","001","","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"873
American Party System","001","","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"874
Policy-Making Process","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"885
Advanced Public Management","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","Course Total","","7","3.605","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Smr-Political Theory","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"948","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"948","002","","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Smr:Topics in Comp Politics","Course Total","","22","3.929","81.8","13.6",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"961
Smr-African Politics","001","","14","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"967
Seminar: Asian Politics","001","","13","3.773","46.2","38.5",".",".",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"974
Topics in Public Affairs","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
