"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"155
Intro to Biology of Aging","001","","24","2.917","20.8","4.2","45.8","4.2","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"380
Contemp Populatn Probs-Honors","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"502
Air Pollution&Human Health","001","","15","3.467","46.7","13.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"548
Economics of Health Care","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","6","3.400","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"650
Special Topics","022","","17","3.933","76.5","11.8",".",".",".",".",".","5.9",".",".",".",".","5.9",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","5","***","","","","","","","","","","","","","","","",""
"701
Master's Research Seminar","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"718
International Health Systems","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"719
Smr-Contemp Iss:Health Care","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"794
Biol Basis-Population Health","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","001","","30","3.500","33.3","36.7","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"797
Introduction to Epidemiology","001","","47","3.606","38.3","44.7","17.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"802
Adv Epidemiol: Etiol&Preventn","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"900
Quant Meth-Populatn Health II","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Doctoral Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"904
Special Topics-Epidemiology","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","Course Total","","4","***","","","","","","","","","","","","","","","",""
"913","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"913","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Chem-Newborn-StateLab","Course Total","","3","***","","","","","","","","","","","","","","","",""
"914
IndTrng&ExpClinLab-StateLab","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","011","","9","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","012","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 365 of 399",""
