"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"INTL BUS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","1.000",".",".",".",".",".","100.0",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","99","2.796","15.2","15.2","26.3","18.2","20.2","2.0","3.0",".","",".",".","",".","",".","",".",".",".","."
"Junior","","173","3.048","41.0","17.3","12.7","15.6","8.7","4.6",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","155","3.145","31.0","21.9","22.6","12.3","9.0","2.6",".","0.6","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","428","3.013","31.3","18.5","19.4","15.0","11.4","3.5","0.7","0.2","",".",".","",".","",".","",".",".",".","."
"Special","","25","3.204","28.0","28.0","20.0","12.0","4.0",".","4.0","4.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","454","3.026","31.3","18.9","19.4","14.8","11.0","3.3","0.9","0.4","",".",".","",".","",".","",".",".",".","."
