"888
SLAVIC","","","","","","","","","","","","","","","","","","",""
"","991
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","Course Total","13","",".",".",".",".",".",".",".","84.6",".",".",".","7.7",".",".","7.7","."
"SLAVIC
888","Dept. Total","361","3.485","57.1","15.5","12.5","3.6","3.3","1.4","1.9","3.9",".",".",".","0.3","0.3",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","",""
"Freshmen","","73","3.606","63.0","13.7","17.8","1.4","2.7","1.4",".",".",".",".",".",".",".",".",".","."
"Sophomore","","65","3.461","56.9","20.0","12.3","3.1","3.1","1.5","3.1",".",".",".",".",".",".",".",".","."
"Junior","","61","3.284","45.9","18.0","11.5","9.8","6.6","1.6","3.3","3.3",".",".",".",".",".",".",".","."
"Senior","","78","3.363","53.8","15.4","17.9","2.6","3.8","1.3","3.8","1.3",".",".",".",".",".",".",".","."
"Undergraduates","","277","3.432","55.2","16.6","15.2","4.0","4.0","1.4","2.5","1.1",".",".",".",".",".",".",".","."
"Special","","10","3.444","70.0",".","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Graduate","","73","3.817","63.0","13.7","1.4","1.4","1.4",".",".","15.1",".",".",".","1.4","1.4",".","1.4","."
"Prof Yr 2","","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","2.500",".",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","361","3.485","57.1","15.5","12.5","3.6","3.3","1.4","1.9","3.9",".",".",".","0.3","0.3",".","0.3","."
