"EDU","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","",""
"Art in Elementary Education","323
001","","16","3.813","75.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Art in Secondary Education","324
002","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Elem School Art","470
001","","14","3.857","85.7","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary School Art","493
001","","14","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","699
059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Contemp Practices in Art Ed","900
001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Art Education","951
001","","8","3.929","75.0","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","999
059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"ART ED
176","Dept. Total","","78","3.805","76.9","9.0","6.4","5.1",".",".",".",".",".",".",".",".","1.3","1.3",".","."
