"GERMAN","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","",""
"Topics-Dutch Life & Culture","245","001","","12","3.955","83.3","8.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Intro to German Literature","274","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Intro to German Lit","284","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Honor Colloq for German 284","285","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Literatur des 20. Jahrhunderts","305","001","","13","3.289","30.8","46.2","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","311","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","311","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem Dutch-Grad Stdts","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem Dutch-Grad Stdts","313","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dutch Conversatn&Compositn","335","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","337","000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","337","001","","21","3.274","19.0","42.9","33.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Adv Compositn & Conversatn","","Course Total","","22","3.303","22.7","40.9","31.8",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Intro to German Linguistics","351","001","","14","3.900","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"German for Grad Reading I","391","001","","22","3.762","72.7","4.5","13.6","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Kultur 1648-1918","410","001","","19","3.538","31.6","42.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Dutch Culture","445","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey German Lit to 1700","611","001","","25","3.660","40.0","52.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cultuurkunde der Lage Landen","645","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"History-German Language","650","001","","24","3.854","75.0","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Film","655","001","","9","3.278","22.2","33.3","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Seminar in German Lit","673","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis-1st Sem","681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis-2nd Sem","682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Sem-German Lit","683","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","3.136","66.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Literatur des 18. Jahrhunderts","703","001","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of German","720","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Teaching German","722","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Teach Undergrad Ling","724","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Applied Linguistics","727","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Old Germanic Languages","755","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","758","001","","19","3.833","73.7","10.5","10.5",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","758","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 216 of 399",""
