"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"211","001","","32","2.758","18.8","18.8","15.6","15.6","15.6","9.4","3.1",".","3.1",".",".",".",".",".",".","."
"211","002","","9","2.611","22.2",".","11.1","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","Course Total","","41","2.725","19.5","14.6","14.6","19.5","17.1","9.8","2.4",".","2.4",".",".",".",".",".",".","."
"250
Process Synthesis","001","","54","2.639","13.0","13.0","27.8","11.1","22.2","11.1","1.9",".",".",".",".",".",".",".",".","."
"311
Thermodynamics of Mixtures","001","","51","2.755","15.7","15.7","27.5","9.8","21.6","7.8","2.0",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","56","2.773","12.5","32.1","7.1","16.1","19.6","8.9","1.8",".",".",".",".",".","1.8",".",".","."
"324","002","","10","3.300","30.0","10.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"324","003","","8","3.188",".","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"324","004","","11","3.182","18.2","27.3","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"324","005","","8","3.188","25.0","12.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","Course Total","","37","3.216","18.9","27.0","40.5","5.4","8.1",".",".",".",".",".",".",".",".",".",".","."
"326
Momentum&Heat Transfer Oper","001","","37","2.730","29.7","8.1","24.3","8.1","13.5","5.4","10.8",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"426
Mass Transfer Operations","001","","52","2.904","19.2","13.5","38.5","5.8","15.4","5.8","1.9",".",".",".",".",".",".",".",".","."
"430
Chem Kinetcs & Reactor Dsgn","001","","39","2.872","17.9","10.3","25.6","30.8","12.8",".","2.6",".",".",".",".",".",".",".",".","."
"440
Chemical Engineering Matl","001","","24","2.604","8.3","8.3","29.2","29.2","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"450
Process Design","001","","26","3.115","23.1","19.2","30.8","11.5","15.4",".",".",".",".",".",".",".",".",".",".","."
"470
Process Dynamics & Control","001","","39","2.756","12.8","15.4","20.5","12.8","38.5",".",".",".",".",".",".",".",".",".",".","."
"525","001","","7","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"525","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Macromolecular Hydrodynamcs","Course Total","","9","3.563","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","11.1"
"540
Polymer Sci & Technology","001","","60","3.142","26.7","16.7","35.0","11.7","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","001","","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"562","003","","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"562","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"562","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics in ChE","Course Total","","42","3.718","64.3","19.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","8","3.125",".","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"599","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
