"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","15","3.533","26.7","53.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","21","3.571","38.1","47.6","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
101","21","3.300","14.3","42.9","28.6","4.8","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"","005
101","21","3.381","42.9","23.8","9.5","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
007","20","3.474","30.0","40.0","20.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","008
101","16","3.067","6.3","43.8","18.8","6.3","18.8",".",".","6.3",".",".",".",".",".",".",".","."
"","101
009","23","3.435","21.7","52.2","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","011
101","19","3.167","5.3","47.4","31.6","5.3",".","5.3",".",".",".",".",".",".",".","5.3",".","."
"","101
012","18","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","17","3.382","17.6","58.8","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester French","Course Total","191","3.393","26.2","41.9","17.8","7.9","3.7","0.5",".","1.0",".",".",".",".",".","1.0",".","."
"","102
001","17","3.167","11.8","47.1","5.9","5.9","17.6",".",".","11.8",".",".",".",".",".",".",".","."
"","102
002","21","3.214","28.6","38.1","4.8","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","102
003","21","3.381","38.1","23.8","19.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","005
102","24","3.292","33.3","29.2","20.8","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","008
102","22","3.386","27.3","40.9","18.2","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","102
010","13","3.115","30.8","7.7","30.8","15.4","15.4",".",".",".",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","118","3.276","28.8","32.2","16.1","10.2","9.3","1.7",".","1.7",".",".",".",".",".",".",".","."
"First Sem French Honors","181
001","13","3.654","84.6","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","203
001","20","2.925","10.0","25.0","45.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","203
002","14","3.179","21.4","28.6","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"","004
203","15","3.033","13.3","26.7","26.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"","203
005","20","3.079","5.0","35.0","30.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","203
006","17","3.088","29.4","23.5","23.5","5.9","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","008
203","22","3.114","18.2","31.8","18.2","18.2","13.6",".",".",".",".",".",".",".",".",".",".","."
"","203
010","21","3.262","19.0","38.1","33.3","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","203
011","22","3.214","31.8","22.7","13.6","9.1","18.2",".",".","4.5",".",".",".",".",".",".",".","."
"","203
012","14","2.964","7.1","21.4","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","165","3.101","17.6","28.5","28.5","10.9","10.9","1.8","0.6","1.2",".",".",".",".",".",".",".","."
"","204
001","23","3.174","13.0","34.8","47.8",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"","204
002","23","3.478","30.4","47.8","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","204
004","22","3.250","31.8","31.8","22.7",".","4.5","9.1",".",".",".",".",".",".",".",".",".","."
"","006
204","21","3.214","14.3","38.1","28.6","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
008","20","3.200","10.0","30.0","55.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","204
010","20","3.175","25.0","35.0","20.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","011
204","19","3.447","26.3","52.6","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","148","3.277","21.6","38.5","28.4","4.7","4.1","1.4","1.4",".",".",".",".",".",".",".",".","."
"","227
001","24","3.717","54.2","29.2","12.5",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"","227
002","23","3.452","26.1","39.1","17.4","8.7",".",".",".","4.3",".",".",".",".",".","4.3",".","."
"","227
003","23","3.326","17.4","60.9","13.0","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","227
004","22","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","92","3.522","35.9","41.3","13.0","5.4",".",".","1.1","2.2",".",".",".",".",".","1.1",".","."
"","228
001","14","3.589","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","20","3.430","50.0","35.0",".",".",".",".","10.0","5.0",".",".",".",".",".",".",".","."
"","228
003","19","3.625","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 207 of 399",""
