"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"230
Soil: Ecosystem & Resource","001","","38","3.039","36.8","18.4","21.1","5.3","5.3","5.3","7.9",".",".",".",".",".",".",".",".","."
"301
General Soil Science","001","","33","2.924","24.2","18.2","24.2","15.2","9.1","3.0","6.1",".",".",".",".",".",".",".",".","."
"323
Soil Biology","001","","24","3.771","66.7","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"324
Soils and Envrnmtl Quality","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"325
Pedology","001","","21","3.500","47.6","23.8","9.5","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","10","3.250","30.0","20.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"372
On-Site Waste Water Treatment","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"375
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"499
Soil Management","001","","17","3.118","35.3","47.1",".",".",".","5.9","11.8",".",".",".",".",".",".",".",".","."
"532
Environmental Biophysics","001","","22","3.659","36.4","59.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","12","2.778","8.3",".","41.7",".","25.0",".",".","8.3",".",".",".",".",".","8.3","8.3","."
"626
Mineral Nutrition of Plants","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","4","***","","","","","","","","","","","","","","","",""
"728
Graduate Seminar","001","","24","3.583","8.3","12.5","4.2",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"799
Pract-Soil Science Teaching","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","24","",".",".",".",".",".",".",".","70.8",".",".",".","29.2",".",".",".","."
