"LIFE SCIENCES COMMUNICATIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","","",""
"","100
001","","19","3.447","31.6","31.6","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","","16","3.188","43.8","18.8","6.3","6.3","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","100
004","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","16","3.500","37.5","31.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","97","3.582","49.5","30.9","12.4","3.1","3.1","1.0",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","001
111","","18","3.250","33.3","22.2","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","212
001","","24","3.708","75.0",".","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","212
005","","13","3.231","15.4","23.1","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","","37","3.541","54.1","8.1","32.4","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"","299
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","","18","3.472","44.4","38.9","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","","15","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
360","","18","3.806","88.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Information Radio","Course Total","","34","3.868","88.2","8.8",".",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"","375
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Publications Editing","505
001","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","19","3.658","68.4","26.3",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","515
002","","14","3.643","57.1","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Pub Info Campaigns & Progms","Course Total","","33","3.652","63.6","27.3","3.0",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Curric in Agri-sci Educ","523
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","530
001","","13","3.500","38.5","38.5","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","530
002","","14","3.654","50.0","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Print&Electronic Media Dsgn","Course Total","","27","3.577","44.4","29.6","18.5",".","3.7",".",".",".",".",".",".",".",".",".","3.7","."
"Web Design for the Sciences","532
001","","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
