"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","76","2.862","11.8","17.1","30.3","26.3","10.5","1.3","2.6",".",".",".",".",".",".",".",".","."
"","101
002","73","2.630","6.8","27.4","15.1","24.7","13.7","5.5","6.8",".",".",".",".",".",".",".",".","."
"","101
003","73","3.208","16.4","32.9","35.6","8.2","2.7","2.7",".","1.4",".",".",".",".",".",".",".","."
"","101
004","77","3.065","15.6","27.3","23.4","22.1","11.7",".",".",".",".",".",".",".",".",".",".","."
"","005
101","75","3.459","37.3","33.3","16.0","6.7","5.3",".",".",".",".",".",".",".",".",".","1.3","."
"","006
101","77","2.773","20.8","10.4","26.0","14.3","19.5","5.2","3.9",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","451","2.998","18.2","24.6","24.4","17.1","10.6","2.4","2.2","0.2",".",".",".",".",".",".","0.2","."
"Spec Topics:Philos-Freshmen","104
001","20","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","88","3.134","23.9","23.9","25.0","11.4","10.2","3.4",".","2.3",".",".",".",".",".",".",".","."
"","002
210","81","3.234","27.2","25.9","24.7","7.4","11.1","1.2",".","2.5",".",".",".",".",".",".",".","."
"","210
003","19","3.447","36.8","31.6","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","188","3.209","26.6","25.5","24.5","9.0","10.1","2.1",".","2.1",".",".",".",".",".",".",".","."
"","211
001","74","3.267","44.6","18.9","16.2","6.8","2.7","6.8","2.7","1.4",".",".",".",".",".",".",".","."
"","211
002","75","2.852","16.0","13.3","36.0","9.3","10.7","6.7","2.7","2.7","1.3",".",".",".",".","1.3",".","."
"","003
211","67","2.977","29.9","14.9","23.9","4.5","16.4","6.0","3.0","1.5",".",".",".",".",".",".",".","."
"","211
004","14","3.500","50.0",".","28.6",".","7.1",".",".","14.3",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","230","3.061","31.3","14.8","25.7","6.5","9.6","6.1","2.6","2.6","0.4",".",".",".",".","0.4",".","."
"","001
241","80","3.108","21.3","26.3","25.0","15.0","7.5","2.5","1.3",".",".",".",".",".",".",".","1.3","."
"","241
002","73","2.849","17.8","9.6","34.2","17.8","13.7","5.5","1.4",".",".",".",".",".",".",".",".","."
"","241
003","81","3.075","21.0","23.5","29.6","8.6","11.1","4.9",".",".",".",".",".",".",".",".","1.2","."
"Introductory Ethics","Course Total","234","3.015","20.1","20.1","29.5","13.7","10.7","4.3","0.9",".",".",".",".",".",".",".","0.9","."
"Philosophy of the Arts","253
002","20","3.525","45.0","15.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
001","107","3.111","16.8","22.4","36.4","14.0","5.6","0.9","0.9","2.8",".",".",".",".",".",".",".","."
"","002
341","77","3.240","16.9","29.9","40.3","10.4","2.6",".",".",".",".",".",".",".",".",".",".","."
"","341
003","76","3.233","15.8","35.5","28.9","15.8","2.6",".",".","1.3",".",".",".",".",".",".",".","."
"","341
092","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","23","3.348","26.1","34.8","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","304","3.230","18.8","30.6","32.9","12.2","3.6","0.3","0.3","1.3",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","430
001","53","3.230","22.6","20.8","32.1","15.1","3.8",".",".","1.9",".",".",".",".",".","3.8",".","."
"History-Modern Philosophy","432
001","71","3.056","38.0","26.8","9.9","4.2","5.6","8.5","7.0",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","55","3.130","16.4","27.3","32.7","12.7","7.3","1.8",".","1.8",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","10","3.056","10.0","60.0",".","10.0",".",".","10.0","10.0",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","14","2.786","14.3","21.4","21.4","21.4","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","32","3.063","12.5","18.8","46.9","12.5","9.4",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","26","3.360","34.6","30.8","15.4","7.7","3.8","3.8",".",".",".",".",".",".","3.8",".",".","."
"Philos of Natural Sciences","520
001","10","3.450","70.0","10.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Special Topic","522
001","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523
001","20","3.639","45.0","25.0","20.0",".",".",".",".",".",".",".",".",".","5.0","5.0",".","."
"Freedom Fate and Choice","530
001","21","3.738","66.7","19.0","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","24","2.958","33.3","12.5","16.7","12.5","16.7","4.2","4.2",".",".",".",".",".",".",".",".","."
"Special Topics in Ethics","543
001","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 273 of 399",""
