"FOOD SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"390
FOOD SCI","","","","","","","","","","","","","","","","","","","",""
"120","001","","46","3.250","37.0","19.6","23.9","8.7","6.5","2.2","2.2",".",".",".",".",".",".",".",".","."
"120","002","","254","3.275","36.6","25.2","13.0","15.0","4.3","3.9","0.8","1.2",".",".",".",".",".",".",".","."
"120","003","","245","3.181","33.1","22.4","17.1","11.0","6.5","4.9","1.6","3.3",".",".",".",".",".",".",".","."
"Science of Food","Course Total","","545","3.231","35.0","23.5","15.8","12.7","5.5","4.2","1.3","2.0",".",".",".",".",".",".",".","."
"200
Prof-Dietetics & Nutrition","001","","69","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"235
Nature of Food","001","","109","2.894","22.0","10.1","35.8","3.7","21.1","7.3",".",".",".",".",".",".",".",".",".","."
"236","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"236","002","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nature of Food - Laboratory","Course Total","","28","3.893","82.1","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"310
Analysis of Food Products","001","","21","3.310","23.8","33.3","33.3",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"324
Food Bacteriology Lab","001","","7","3.286","42.9",".","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"325
Food Bacteriology","001","","63","2.905","20.6","7.9","31.7","14.3","23.8","1.6",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"437
Food Service Operations","001","","52","3.538","34.6","42.3","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"438","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"438","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food Service Operations Lab","Course Total","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Principles of Food Engr","001","","21","2.952","9.5","14.3","47.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"499
Food Science Capstone","001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"512
Principles of Food Chem-Lab","001","","20","3.575","45.0","30.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"530
Food Processing I","001","","25","3.060","28.0","20.0","16.0","8.0","28.0",".",".",".",".",".",".",".",".",".",".","."
"640
Phase Transitions in Foods","001","","15","3.533","46.7","13.3","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.938","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Advanced Food Toxicology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"718
Colloid Chemistry of Foods","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Food Sci Teaching","Course Total","","3","***","","","","","","","","","","","","","","","",""
"900
Seminar Advanced","001","","29","3.750","10.3",".","3.4",".",".",".",".","86.2",".",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 21 of 399"
