"THEATRE AND DRAMA","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","","",""
"","362","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","362","006","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","","Course Total","","32","3.797","68.8","21.9","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Pract-Stage Costume Dsgn","363","001","","20","3.266","25.0","55.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366","001","","14","3.245","28.6","50.0","7.1",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Fundamentals of Directing","368","001","","23","3.609","60.9","17.4","17.4",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"Drafting for the Theatre","370","001","","9","2.911","33.3","11.1","11.1","11.1","11.1","11.1",".",".",".",".",".",".","11.1",".",".","."
"Sound for Theatre","371","001","","14","3.122","14.3","35.7","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","7.1"
"Stage Management","379","001","","7","3.357",".","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey: Theories of Drama","520","001","","14","3.750","57.1","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theatre in Education","525","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Amer Drama & Theatre","535","001","","37","3.118","27.0","10.8","35.1","5.4","10.8",".","2.7","8.1",".",".",".",".",".",".",".","."
"Brit Drama, 1914 to Present","538","001","","24","3.375","37.5","37.5","12.5","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Movement Styles","542","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory III","561","001","","35","3.850","82.9","8.6","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","619","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","619","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Specl Topics-Theatre&Drama","","Course Total","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study-Theatre Dsgn&Tech","670","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","14","3.942","85.7","7.1",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Prosem: Intro Rsch-Theatre","700","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Voice Training","740","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Acting","750","001","","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Smr-Probs in Theatre&Drama","911","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collaboratv Design&Tech Studio","970","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 313 of 399",""
