"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","4198","3.555","38.6","19.5","20.9","1.3","0.7","0.2","0.2","18.2","",".",".",".","",".","0.1",".","0.2","0.2"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Junior","","2","2.750",".","50.0",".",".","50.0",".",".",".","",".",".",".","",".",".",".",".","."
"Senior","","7","2.250",".","28.6","28.6",".",".",".","28.6","14.3","",".",".",".","",".",".",".",".","."
"Undergraduates","","9","2.365",".","33.3","22.2",".","11.1",".","22.2","11.1","",".",".",".","",".",".",".",".","."
"Special","","50","3.345","20.0","22.0","24.0","8.0","2.0",".",".","22.0","",".",".",".","",".","2.0",".",".","."
"Graduate","","177","3.612","50.3","26.0","18.1","2.3","1.1",".",".","1.7","",".",".",".","",".",".",".","0.6","."
"Prof Yr 1","","1381","3.522","40.6","26.6","30.9","1.1","0.5",".",".","0.3","",".",".",".","",".",".",".",".","."
"Prof Yr 2","","1259","3.602","38.2","14.6","14.2","1.5","0.7","0.3","0.2","29.2","",".",".",".","",".","0.2",".","0.2","0.6"
"Prof Yr 3","","1292","3.572","36.9","16.0","17.5","0.9","0.6","0.4","0.2","27.2","",".",".",".","",".","0.1",".","0.2","."
"Prof Yr 4","","30","4.000","3.3",".",".",".",".",".",".","96.7","",".",".",".","",".",".",".",".","."
"Professionals","","3962","3.558","38.4","19.1","21.0","1.1","0.6","0.2","0.2","19.0","",".",".",".","",".","0.1",".","0.2","0.2"
"","College Total","4198","3.555","38.6","19.5","20.9","1.3","0.7","0.2","0.2","18.2","",".",".",".","",".","0.1",".","0.2","0.2"
