"ACCOUNTING AND INFO SYSTE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","",""
"","990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Accounting","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","999","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Readng & Rsch-Accountng PhD","","Course Total","","2","***","","","","","","","","","","","","","","","",""
