"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","360","002","31","2.983","22.6","29.0","9.7","12.9","16.1","3.2","3.2","3.2",".",".",".",".",".",".",".","."
"Stats for Sociologists I","","Course Total","55","3.111","27.3","30.9","12.7","9.1","10.9","5.5","1.8","1.8",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","31","3.403","29.0","48.4","16.1",".",".","6.5",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","51","3.561","49.0","19.6","19.6","5.9","2.0",".",".",".",".",".",".",".","3.9",".",".","."
"Computing-Sociologcl Resrch","365","002","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380","001","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Legal Profession","415","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Criminology","441","001","107","3.720","66.4","22.4","6.5","1.9","1.9",".","0.9",".",".",".",".",".",".",".",".","."
"","475","001","61","3.408","36.1","31.1","19.7","3.3","6.6","1.6",".","1.6",".",".",".",".",".",".",".","."
"","475","003","36","2.708","13.9","16.7","22.2","13.9","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","475","004","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","105","3.197","31.4","24.8","20.0","6.7","11.4","4.8",".","1.0",".",".",".",".",".",".",".","."
"Feminism & Sociologicl Thry","477","001","27","3.407","29.6","29.6","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","496","002","28","3.938","89.3","10.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530","001","24","3.500","45.8","20.8","25.0","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","530","002","34","2.632","14.7","11.8","17.6","14.7","32.4","8.8",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","58","2.991","27.6","15.5","20.7","10.3","20.7","5.2",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535","001","17","3.147","29.4","17.6","23.5","11.8","17.6",".",".",".",".",".",".",".",".",".",".","."
"Gender, Science & Technology","611","001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","8","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","24","3.761","58.3","29.2","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Sociology of Organizations","632","001","33","3.545","45.5","36.4","9.1","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"Social Stratification","633","001","44","3.233","20.5","31.8","31.8","9.1","2.3",".","2.3","2.3",".",".",".",".",".",".",".","."
"Sociology of the Family","640","001","45","3.035","17.8","20.0","31.1","13.3","11.1",".","2.2","4.4",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","104","2.944","17.3","16.3","31.7","17.3","12.5","1.9","1.9","1.0",".",".",".",".",".",".",".","."
"Foundatn of Economic Sociology","651","001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","23","3.543","39.1","34.8","21.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Urbanism and Urbanization","677","001","12","2.909",".","41.7","8.3","25.0","16.7",".",".",".",".",".",".",".",".",".","8.3","."
"","681","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","9","3.893","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
