"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"MIL SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","35","3.471","51.4","17.1","20.0","2.9","5.7","2.9","",".","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","38","3.417","28.9","36.8","21.1","5.3","5.3",".","",".","",".","",".",".","",".","",".","2.6",".",".","."
"Junior","30","3.875","80.0","20.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","29","3.883","86.2","6.9","6.9",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","132","3.666","59.1","21.2","12.9","2.3","3.0","0.8","",".","",".","",".",".","",".","",".","0.8",".",".","."
"Special","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","1","3.500",".","100.0",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
