"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","175","2.617","8.0","12.6","19.4","29.7","25.1","2.9","2.3",".",".",".",".",".",".",".",".","."
"102","001","","32","3.266","25.0","34.4","18.8","12.5","9.4",".",".",".",".",".",".",".",".",".",".","."
"102","002","","30","3.400","23.3","43.3","26.7","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","62","3.331","24.2","38.7","22.6","8.1","6.5",".",".",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","226","3.102","35.0","15.9","18.6","8.8","17.7","1.3","2.7",".",".",".",".",".",".",".",".","."
"304","001","","33","3.182","21.2","12.1","54.5","6.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"304","002","","36","3.086","27.8","16.7","36.1",".","11.1",".","5.6",".",".",".",".",".","2.8",".",".","."
"304","003","","33","3.439","33.3","27.3","36.4",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","","102","3.233","27.5","18.6","42.2","2.0","6.9",".","2.0",".",".",".",".",".","1.0",".",".","."
"324
Food Bacteriology Lab","001","","17","3.059","11.8","29.4","29.4","17.6","11.8",".",".",".",".",".",".",".",".",".",".","."
"325
Food Bacteriology","001","","41","3.110","34.1","12.2","26.8","9.8","12.2","2.4","2.4",".",".",".",".",".",".",".",".","."
"370
Bacterial Genetics","001","","45","3.125","8.9","17.8","62.2","6.7","2.2",".",".",".",".",".",".",".",".",".","2.2","."
"526","001","","30","2.950","20.0","10.0","46.7",".","16.7","6.7",".",".",".",".",".",".",".",".",".","."
"526","002","","34","3.265","26.5","17.6","38.2","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol of Microorganisms","Course Total","","64","3.117","23.4","14.1","42.2","9.4","7.8","3.1",".",".",".",".",".",".",".",".",".","."
"527","001","","17","3.529","47.1","17.6","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"527","002","","19","3.421","26.3","31.6","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"527","003","","15","3.267","20.0","13.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","","51","3.412","31.4","21.6","45.1","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","58","2.638","10.3","8.6","32.8","8.6","34.5","3.4","1.7",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","23","3.565","43.5","26.1","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","13","3.538","46.2","15.4","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Gen Virology-Multiplication","001","","17","2.971","23.5","23.5","17.6","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"681","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"682
Senior Honors Thesis","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 9 of 399"
