"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","142","2.789","17.6","7.0","40.1","9.9","16.9","4.9","3.5",".",".",".",".",".",".",".",".","."
"201","002","","87","2.862","12.6","10.3","49.4","5.7","17.2","2.3","2.3",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","229","2.817","15.7","8.3","43.7","8.3","17.0","3.9","3.1",".",".",".",".",".",".",".",".","."
"202","001","","101","2.837","15.8","17.8","21.8","22.8","15.8","4.0","2.0",".",".",".",".",".",".",".",".","."
"202","002","","31","2.871","9.7","19.4","29.0","19.4","22.6",".",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","132","2.845","14.4","18.2","23.5","22.0","17.4","3.0","1.5",".",".",".",".",".",".",".",".","."
"303
Mechanics of Materials","001","","92","2.717","6.5","15.2","31.5","19.6","22.8","3.3","1.1",".",".",".",".",".",".",".",".","."
"307","001","","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"307","002","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"307","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","004","","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"307","005","","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","8","3.188","37.5","12.5","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"307","008","","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","62","3.435","38.7","24.2","25.8","8.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","30","3.683","56.7","23.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Undergrad Rheology Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"469
Design Probs in Engineering","001","","23","3.543","43.5","30.4","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","43","3.209","18.6","23.3","46.5","4.7","7.0",".",".",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","33","2.672","6.1","21.2","27.3","12.1","21.2","6.1","3.0","3.0",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","35","2.457","2.9","11.4","22.9","22.9","28.6","11.4",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","14","3.000","21.4","21.4","35.7","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","11","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","2","***","","","","","","","","","","","","","","","",""
"745
Vibratn & Wave Propagatn I","001","","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
