"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","18","3.444","38.9","22.2","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","15","3.500","46.7","20.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","33","3.470","42.4","21.2","27.3","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","250
001","20","2.684","20.0","5.0","20.0","15.0","25.0","10.0",".",".",".",".",".",".","5.0",".",".","."
"","002
250","18","2.778","22.2","22.2","5.6","11.1","33.3",".","5.6",".",".",".",".",".",".",".",".","."
"","003
250","15","2.567","13.3","20.0","20.0",".","33.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"","250
004","13","3.167","15.4","30.8","30.8",".","15.4",".",".","7.7",".",".",".",".",".",".",".","."
"","250
005","17","2.250","17.6","5.9","11.8","5.9","23.5","23.5","5.9",".",".",".",".",".",".",".","5.9","."
"","250
006","20","2.450","10.0","10.0","25.0",".","45.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","250
007","15","2.200","6.7","13.3","20.0",".","33.3","20.0","6.7",".",".",".",".",".",".",".",".","."
"","250
008","15","2.800","20.0","6.7","33.3","6.7","26.7","6.7",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","133","2.596","15.8","13.5","20.3","5.3","30.1","9.0","3.8","0.8",".",".",".",".","0.8",".","0.8","."
"Prin Land Arc Dsgn&Graphics","261
001","22","3.364","31.8","40.9","18.2","4.5",".",".","4.5",".",".",".",".",".",".",".",".","."
"","263
001","11","2.773","18.2","18.2","27.3","9.1","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"","002
263","14","2.643","14.3","7.1","35.7","21.4","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","25","2.700","16.0","12.0","32.0","16.0","12.0","4.0","8.0",".",".",".",".",".",".",".",".","."
"Independent Studies","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","20","3.450","20.0","55.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","21","3.225","19.0","23.8","38.1","9.5","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","375
001","22","3.523","36.4","40.9","13.6","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","002
375","19","3.905","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","41","3.662","58.5","26.8","9.8","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","3","***","","","","","","","","","","","","","","","",""
"Environmental Aesthetics","548
001","6","2.700",".",".","50.0","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","001
550","22","3.159","27.3","18.2","22.7","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","22","3.593","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","31","3.683","48.4","35.5","12.9",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"Adaptive Restoration Lab","670
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677
001","15","3.571","40.0","26.7","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Special Problems-Land Arch","699
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories-Landscape Change","710
001","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Inquiry-Landscape Dsgn","720
001","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940
001","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 31 of 399"
