"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"DANCE PROGRAM","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","",""
"Modern Dance I","11","001","","23","3.800","69.6",".","17.4",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"Modern Dance Technique I","111","001","","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125","001","","20","3.200","10.0","45.0","30.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Rhythmic Training for Dancers","144","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Movemnt as Matl Thru Improv","151","001","","14","3.500","42.9","21.4","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","153","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Movement Analysis","167","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Production","170","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"African Dance","177","001","","30","3.654","53.3","16.7","10.0","3.3","3.3",".",".","13.3",".",".",".",".",".",".",".","."
"Ballet I","21","001","","20","3.750","50.0","35.0","5.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Modern Dance Technique III","211","001","","14","3.577","57.1","7.1","14.3","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"Modern Dance Technique IV","212","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","22","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique II","225","001","","17","3.265","29.4","41.2","17.6",".","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Modern Jazz Dance","31","001","","27","3.913","74.1","7.4","3.7",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"Modern Dance Technique V","311","001","","12","3.318","41.7","25.0","16.7",".",".",".","8.3",".",".",".",".",".",".","8.3",".","."
"Ballet Technique III","325","001","","15","3.615","40.0","33.3","6.7","6.7",".",".",".","13.3",".",".",".",".",".",".",".","."
"Video Desgn-Perf&Visual Art","351","001","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353","001","","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Dance Composition II","355","001","","9","3.333","44.4","44.4",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","399","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Project","","Course Total","","17","3.886","88.2",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","41","001","","30","3.760","50.0","26.7","6.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","41","002","","35","3.694","22.9","25.7","2.9",".",".",".",".","48.6",".",".",".",".",".",".",".","."
"","41","003","","34","3.817","64.7","17.6","2.9","2.9",".",".",".","11.8",".",".",".",".",".",".",".","."
"","41","004","","29","3.929","62.1","10.3",".",".",".",".",".","27.6",".",".",".",".",".",".",".","."
"","41","005","","39","3.819","76.9","2.6","7.7","5.1",".",".",".","7.7",".",".",".",".",".",".",".","."
"","41","006","","33","3.887","78.8","9.1","6.1",".",".",".",".","6.1",".",".",".",".",".",".",".","."
"","41","007","","32","3.722","40.6","40.6","3.1",".",".",".",".","12.5",".",".",".",".",".",".","3.1","."
"Ballroom Dancing","","Course Total","","232","3.809","56.9","18.5","4.3","1.3",".",".",".","18.5",".",".",".",".",".",".","0.4","."
"Sound Dsgn-Perf/Visual Arts","420","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","451","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multimedia Sound Design","520","001","","8","3.250","50.0","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","560","001","","19","3.694","52.6","26.3","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","560","002","","10","3.313","40.0","30.0",".",".",".",".","10.0","10.0",".",".",".",".",".",".","10.0","."
"Current Topics-Dance:Wkshp","","Course Total","","29","3.625","48.3","27.6","10.3",".",".",".","3.4","6.9",".",".",".",".",".",".","3.4","."
