"L&S","","","","","","","","","","","","","","","","","","",""
"HEBREW (HEBREW AND SEMITI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.286","57.1","9.5","14.3","9.5",".",".","9.5",".",".",".",".",".",".",".",".","."
"","002
101","13","3.423","46.2","15.4","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
101","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
101","13","3.667","46.2","30.8","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"First Semester Hebrew","Course Total","62","3.467","51.6","19.4","12.9","11.3",".",".","3.2","1.6",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","103
001","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
002","11","3.682","63.6","9.1","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","21","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Judaism","211
001","56","3.398","25.0","46.4","14.3","5.4","3.6","1.8",".","1.8",".",".",".",".",".","1.8",".","."
"Intro to Biblical Lit","001
217","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","20","3.324","20.0","15.0","50.0",".",".",".",".","10.0",".",".",".",".","5.0",".",".","."
"Intro to Hebrew Literature","301
001","22","3.500","40.9","31.8","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts","323
001","11","2.944",".","27.3","18.2","36.4",".",".",".","9.1",".",".",".",".",".","9.1",".","."
"Survey of Modern Hebrew Lit","401
001","24","3.563","50.0","16.7","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Rabbinic Texts","448
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Archaeology","451
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biblical Texts, Poetry","513
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Canaanite Dialects","604
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Isaiah","651
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Pentateuchal Criticism","953
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"HEBR ST
440","Dept. Total","299","3.496","44.5","23.7","17.7","7.0","0.7","1.0","0.7","3.7",".",".",".",".","0.3","0.7",".","."
