"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"","376
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","15","3.700","86.7","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","24","3.750","79.2","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"","412
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","412
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","7","3.286","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","422
003","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","","15","3.767","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","10","3.600","80.0",".",".",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","448
004","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
006","","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","74","3.911","87.8","5.4","4.1","1.4",".",".",".",".",".",".",".",".","1.4",".",".","."
"Concept&Methodol of Figuration","452
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508
001","","114","3.821","75.4","10.5","7.9","0.9",".","0.9",".","0.9",".",".",".",".",".",".","2.6","0.9"
"Advanced Drawing I","512
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516
001","","13","3.716","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Artist's Video","518
001","","10","3.450","40.0","20.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","522
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","Course Total","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","9","3.942","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Watercolor I","542
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","6","3.735","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","","17","3.529","29.4","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","","10","3.411",".","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 73 of 399"
