"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"250","001","","17","3.647","76.5","5.9","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"250","002","","17","3.647","82.4",".","11.8",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Intro to Modern Materials","Course Total","","34","3.647","79.4","2.9","8.8","2.9",".","2.9","2.9",".",".",".",".",".",".",".",".","."
"271
Mat Sci&Engr Prob Solvng I","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","17","3.471","41.2","23.5","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","154","3.347","37.0","16.2","37.0","3.9","3.2","2.6",".",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","22","2.955","18.2","13.6","27.3","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"360","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"360","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","10","3.250","20.0","40.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","19","3.605","26.3","68.4","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"401","001","","44","3.756","65.9","20.5","9.1","2.3",".",".",".",".",".",".",".",".",".",".",".","2.3"
"401","002","","18","3.167","22.2","22.2","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"401","003","","17","3.647","47.1","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","79","3.589","51.9","24.1","15.2","6.3","1.3",".",".",".",".",".",".",".",".",".",".","1.3"
"448
Crystallog & Xray Diffractn","001","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","22","2.705","22.7","13.6","9.1","18.2","22.7","13.6",".",".",".",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","14","3.357","21.4","35.7","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"570
Properties-Solid Surfaces","001","","21","3.690","52.4","33.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699
Independent Study","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"750
Imperfectns&Mech Properties","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Matls Sci-Phase Transfm","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","16","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
"803","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 135 of 399",""
