"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"","677
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
006","40","3.899","87.5","7.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","677
007","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
008","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
677","33","3.892","90.9",".","6.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","677
010","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
011","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","677
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
014","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
015","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","677
017","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Genetics","Course Total","229","3.929","90.0","4.4","4.4","0.9","0.4",".",".",".",".",".",".",".",".",".",".","."
"","699
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","713
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Genetics","731
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Search Strategies&Analysis","739
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biochm Genetics for Counselors","744
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","813
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990
048","5","***","","","","","","","","","",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","289","3.918","85.5","8.3","3.5","0.7","0.3",".",".","1.7",".",".",".",".",".",".",".","."
