"RISK MANAGEMENT AND INSUR Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","","",""
"300
001
Principles-Risk Management","204","2.887","15.7","19.1","26.5","17.2","15.2","6.4",".","",".",".","",".",".","",".","",".","",".",".","."
"610
001
Property Risk Management","45","3.375","28.9","22.2","40.0","6.7",".",".",".","","2.2",".","",".",".","",".","",".","",".",".","."
"630
001
Life and Health Insurance","53","3.404","39.6","18.9","22.6","15.1","1.9",".",".","","1.9",".","",".",".","",".","",".","",".",".","."
"640
001
Mgt-Insurance Enterprise","35","3.486","25.7","45.7","28.6",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"700
001
Principles of Risk Mgmt","15","3.767","66.7","20.0","13.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".","."
"990
039
PhD Thesis-Risk&Insurance","4","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"R M I
Dept. Total
241","356","3.123","23.9","21.9","27.0","12.9","9.0","3.7","",".","1.7","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","34","2.882","20.6","17.6","20.6","17.6","14.7","8.8","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","95","2.847","10.5","16.8","37.9","13.7","14.7","6.3","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","186","3.217","26.3","24.7","25.8","14.0","5.9","2.2","",".","1.1","",".",".","",".","",".","",".",".",".","."
"Undergraduates","315","3.069","21.0","21.6","28.9","14.3","9.5","4.1","",".","0.6","",".",".","",".","",".","",".",".",".","."
"Special","6","3.000","33.3",".","33.3",".","33.3",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","33","3.672","45.5","30.3","9.1","3.0",".",".","",".","12.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","356","3.123","23.9","21.9","27.0","12.9","9.0","3.7","",".","1.7","",".",".","",".","",".","",".",".",".","."
