"","990
085","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
086","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
088","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","58","",".",".",".",".",".","",".",".","100.0",".",".",".",".","",".",".",".","."
"AHABS
952","Dept. Total","171","3.417","35.1","12.3","11.7","1.8","1.8","",".","2.3","34.5",".",".",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","27","3.500","40.7","40.7","14.8",".",".","",".","3.7",".",".",".",".",".","",".",".",".","."
"Sophomore","","8","3.250","37.5","37.5","12.5",".",".","",".","12.5",".",".",".",".",".","",".",".",".","."
"Junior","","14","2.957","21.4","28.6","21.4","14.3","14.3","",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","30","3.376","66.7","3.3","20.0",".","3.3","",".","6.7",".",".",".",".",".","",".",".",".","."
"Undergraduates","","79","3.296","46.8","24.1","17.7","2.5","3.8","",".","5.1",".",".",".",".",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","88","3.679","25.0","2.3","6.8","1.1",".","",".",".","63.6",".",".",".","1.1","",".",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".","",".",".","100.0",".",".",".",".","",".",".",".","."
"Prof Yr 3","","2","",".",".",".",".",".","",".",".","100.0",".",".",".",".","",".",".",".","."
"Professionals","","3","",".",".",".",".",".","",".",".","100.0",".",".",".",".","",".",".",".","."
"","Dept. Total","171","3.417","35.1","12.3","11.7","1.8","1.8","",".","2.3","34.5",".",".",".","0.6","",".",".",".","."
