"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"509
Abnormal Psychology","001","","372","2.775","19.4","9.4","25.0","10.2","28.5","5.1","0.8","1.6",".",".",".",".",".",".",".","."
"517","001","","29","3.696","48.3","37.9","10.3",".",".",".",".",".",".",".",".",".",".","3.4",".","."
"517","002","","25","3.900","84.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","Course Total","","54","3.792","64.8","25.9","7.4",".",".",".",".",".",".",".",".",".",".","1.9",".","."
"522
Psychology of Women","001","","20","3.350","45.0","15.0","20.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","25","3.417","36.0","28.0","16.0","12.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"530","001","","61","3.633","50.8","26.2","18.0","3.3",".",".",".",".",".",".",".",".",".",".","1.6","."
"530","002","","161","2.797","19.9","9.9","32.9","5.6","20.5","9.9","0.6",".",".",".",".",".",".",".",".","0.6"
"Intro-Social Psychology","Course Total","","222","3.025","28.4","14.4","28.8","5.0","14.9","7.2","0.5",".",".",".",".",".",".",".","0.5","0.5"
"610
Stat Anal-Psych Experiments","001","","32","3.871","78.1","12.5","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"618","002","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","004","","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"618","006","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618","007","","49","3.927","89.8","6.1","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics","Course Total","","118","3.970","94.9","2.5","1.7",".",".",".",".","0.8",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","18","3.500","27.8","50.0","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"681","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"681","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","20","3.974","90.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","5.0","."
"682","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"686
Honors Seminar in Psych","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
