"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","1816","3.098","26.8","15.8","22.3","9.0","8.5","2.5","2.4","10.0","0.1","1.9","0.1","0.1","0.1","0.4","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","138","2.923","39.9","12.3","13.0","11.6","12.3","5.1","2.9",".",".","1.4",".",".",".","1.4",".","."
"Sophomore","","325","2.839","16.3","16.0","31.7","13.8","11.4","4.3","4.3","0.3",".","1.5",".",".",".","0.3",".","."
"Junior","","297","2.907","16.2","13.5","36.4","11.8","11.4","2.7","3.0","0.3",".","4.0","0.3",".",".","0.3",".","."
"Senior","","499","3.013","23.8","17.2","25.7","11.4","12.0","3.4","2.8",".",".","2.6",".",".","0.2","0.6","0.2","."
"Undergraduates","","1259","2.934","21.8","15.5","28.4","12.2","11.8","3.7","3.3","0.2",".","2.5","0.1",".","0.1","0.6","0.1","."
"Special","","35","3.211","28.6","25.7","22.9","14.3","5.7",".","2.9",".",".",".",".",".",".",".",".","."
"Graduate","","522","3.697","38.7","15.9","7.7","1.1","0.8",".","0.2","34.3","0.2","0.4",".","0.4",".","0.2","0.2","."
"","Dept. Total","1816","3.098","26.8","15.8","22.3","9.0","8.5","2.5","2.4","10.0","0.1","1.9","0.1","0.1","0.1","0.4","0.1","."
