"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","280","3.152","14.3","21.4","46.4","15.7","0.4","0.4","0.4","1.1",".",".",".",".",".",".",".","."
"","300
002","173","3.087","8.7","20.8","49.7","19.7","0.6",".",".","0.6",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","453","3.127","12.1","21.2","47.7","17.2","0.4","0.2","0.2","0.9",".",".",".",".",".",".",".","."
"","001
305","36","3.214","13.9","38.9","27.8","8.3","8.3",".",".","2.8",".",".",".",".",".",".",".","."
"","305
002","44","3.409","36.4","22.7","29.5","9.1","2.3",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","80","3.323","26.3","30.0","28.8","8.8","5.0",".",".","1.3",".",".",".",".",".",".",".","."
"","310
001","48","3.521","33.3","47.9","10.4","6.3","2.1",".",".",".",".",".",".",".",".",".",".","."
"","310
002","41","3.256","22.0","36.6","19.5","14.6","7.3",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","89","3.399","28.1","42.7","14.6","10.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","001
365","12","3.786","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","399
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","415
001","43","3.744","69.8","14.0","11.6","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","34","3.697","50.0","35.3","11.8",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","77","3.724","61.0","23.4","11.7","2.6",".",".",".","1.3",".",".",".",".",".",".",".","."
"","420
001","30","3.367","20.0","36.7","40.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","28","3.214","10.7","32.1","46.4","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","Course Total","58","3.293","15.5","34.5","43.1","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
425","49","3.357","8.2","55.1","36.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","42","3.413","16.7","45.2","33.3",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","91","3.382","12.1","50.5","35.2",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"","460
001","14","3.679","57.1","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","460
002","36","3.361","19.4","52.8","22.2","2.8",".",".","2.8",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","50","3.450","30.0","46.0","18.0","4.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"","635
001","43","3.884","76.7","23.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","24","3.583","45.8","25.0","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","Course Total","67","3.776","65.7","23.9","10.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","42","3.202","19.0","21.4","45.2","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","640
002","32","3.281","25.0","34.4","21.9","9.4","9.4",".",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","74","3.236","21.6","27.0","35.1","9.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"","700
001","36","3.458","19.4","52.8","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
700","41","3.549","29.3","51.2","19.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
700","35","3.543","22.9","62.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","112","3.518","24.1","55.4","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","001
705","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","39","3.526","23.1","61.5","10.3",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","36","3.611","50.0","25.0","22.2","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","30","3.732","53.3","36.7",".",".","3.3",".",".","6.7",".",".",".",".",".",".",".","."
"","765
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","36","3.779","61.1","30.6",".",".","2.8",".",".","5.6",".",".",".",".",".",".",".","."
"","219
799","12","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
220","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","33","3.939","93.9",".","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Models in Marketing","815
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
