"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","27","3.611","51.9","25.9","18.5",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"","002
102","28","3.464","39.3","21.4","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","18","3.472","61.1","11.1","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","102
004","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","18","3.667","77.8","11.1","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","006
102","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","126","3.635","62.7","15.1","17.5","2.4","0.8",".","1.6",".",".",".",".",".",".",".",".","."
"","001
104","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
104","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
003","15","3.467","40.0","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","104
004","14","3.107","21.4","35.7","28.6",".","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","64","3.641","60.9","23.4","9.4","1.6","3.1",".","1.6",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","001
108","178","3.543","57.9","22.5","8.4","3.9","1.7","1.7","2.8",".",".",".",".",".",".","1.1",".","."
"","112
001","18","3.735","66.7","11.1","11.1","5.6",".",".",".",".",".",".","5.6",".",".",".",".","."
"","112
002","16","3.767","62.5","25.0",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","003
112","16","3.333","50.0","6.3","18.8","6.3","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"","004
112","17","3.625","41.2","35.3","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","005
112","27","3.926","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
112","27","3.907","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
112","19","3.588","26.3","52.6","10.5",".",".",".",".","5.3",".",".",".",".",".","5.3",".","."
"","112
008","18","2.917","11.1","33.3","27.8","5.6","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","112
009","19","3.639","42.1","36.8","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Drawing I","Course Total","177","3.638","55.9","23.2","11.3","2.3","2.3","0.6","0.6","2.3",".",".","0.6",".",".","1.1",".","."
"","212
001","16","3.167","25.0","31.3","18.8","12.5",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","002
212","16","3.100","25.0","18.8","25.0","12.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".","."
"","003
212","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
212","17","3.656","52.9","17.6","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Drawing II","Course Total","63","3.417","41.3","22.2","20.6","6.3","1.6","1.6","1.6","4.8",".",".",".",".",".",".",".","."
"","001
214","11","3.318","27.3","45.5","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","214
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
003","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","37","3.797","78.4","13.5","5.4",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"","222
001","18","3.444","27.8","38.9","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","222
002","16","3.531","37.5","31.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
222","19","3.632","26.3","73.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","53","3.538","30.2","49.1","18.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
224","16","3.667","81.3",".","6.3",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","002
224","17","3.938","88.2",".","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","003
224","17","3.938","88.2",".","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","50","3.851","86.0",".","6.0",".",".",".","2.0","6.0",".",".",".",".",".",".",".","."
"","001
232","12","3.208","8.3","25.0","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","232
002","11","3.545","54.5","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","003
232","12","3.458","33.3","25.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","35","3.400","31.4","22.9","40.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
