"GEOLOGY & GEOPHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"737
Conducted Field Trip","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Micropaleontology I","001","","12","3.818","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"777
Electron Microprobe Anal","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"875","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Geology","Course Total","","72","4.000","81.9",".",".",".",".",".",".","18.1",".",".",".",".",".",".",".","."
"911
Oceanography&Limnology Smr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929
Seminar-Hydrogeology","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","66","",".",".",".",".",".",".",".","81.8","1.5",".",".","15.2",".",".","1.5","."
