"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Special Problems","Course Total","","31","3.966","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Intmed Problems in ChE","001","","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Independent Studies","Course Total","","3","***","","","","","","","","","","","","","","","",""
"710
Adv ChE Thermodynamic","001","","22","3.432","45.5","9.1","36.4","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"735
Kinetics and Catalysis","001","","22","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"890","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","66","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Smr:Adv in Transport Phenom","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"925
Rheology Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar-Chem Engineering","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"970
Process Anal,Syn,Dyn&Contrl","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 107 of 399",""
