"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"577
Introduction to Algorithms","001","","23","3.109","26.1","8.7","39.1","21.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"640
Intro to Computer Networks","001","","33","3.547","45.5","24.2","18.2","9.1",".",".",".","3.0",".",".",".",".",".",".",".","."
"681","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"691","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","49","3.944","98.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Construction of Compilers","001","","18","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Finite Difference Methods","001","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"726
Nonlinear Progrmg Thry&Appl","001","","8","3.786","50.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"736
Advanced Operating Systems","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"737
Computer System Performance","001","","20","3.684","60.0","20.0","10.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"740
Advanced Computer Networks","001","","14","3.643","57.1","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","16","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
VLSI Systems Design","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Machine Learning","001","","33","3.609","42.4","36.4","15.2","3.0",".",".",".","3.0",".",".",".",".",".",".",".","."
"764
Topics-Database Mgt Systems","001","","33","3.652","51.5","27.3","21.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Computer Vision","001","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"787
Adv Algorithms&Data Structr","001","","15","3.367","40.0","26.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
