"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.350","28.6","19.0","42.9",".","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","101
002","20","3.675","70.0","5.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
101","17","3.471","41.2","11.8","47.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","006
101","22","3.273","18.2","31.8","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","18","3.417","44.4","16.7","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","101
008","23","3.413","21.7","47.8","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","101
009","20","3.325","30.0","45.0","10.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","010
101","21","3.500","33.3","38.1","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
011","19","3.658","47.4","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
013","19","3.421","31.6","36.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","101
014","21","3.571","52.4","14.3","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","101
015","22","3.381","36.4","18.2","22.7","18.2",".",".",".","4.5",".",".",".",".",".",".",".","."
"","101
016","21","3.405","38.1","33.3","19.0",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","284","3.454","37.7","28.2","24.3","7.0","1.4","0.4","0.4","0.7",".",".",".",".",".",".",".","."
"","002
102","6","3.400","33.3","16.7","16.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".","."
"","004
102","16","3.281","31.3","12.5","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","006
102","21","3.429","33.3","42.9","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","102
009","23","3.413","43.5","26.1","13.0","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"","102
011","14","3.357","35.7","28.6","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
012","14","2.679","7.1","14.3","42.9","7.1","21.4",".","7.1",".",".",".",".",".",".",".",".","."
"","102
013","11","2.750","9.1","9.1","27.3","18.2","27.3",".",".","9.1",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","105","3.223","29.5","23.8","22.9","8.6","12.4",".","1.0","1.9",".",".",".",".",".",".",".","."
"","201
001","15","3.750","53.3","33.3","6.7",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","201
002","18","3.444","50.0","16.7","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"","201
003","21","3.775","57.1","33.3","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","54","3.654","53.7","27.8","11.1","1.9",".","1.9",".","3.7",".",".",".",".",".",".",".","."
"","203
001","15","3.600","46.7","26.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
203","22","3.190","40.9","18.2","13.6","9.1","4.5","4.5","4.5","4.5",".",".",".",".",".",".",".","."
"","003
203","18","3.147","22.2","16.7","27.8","22.2","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"","005
203","12","2.909","8.3","16.7","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".","8.3","."
"","203
006","16","3.219","18.8","31.3","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","203
007","23","3.364","30.4","17.4","39.1","8.7",".",".",".","4.3",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","106","3.255","29.2","20.8","29.2","9.4","5.7","0.9","0.9","2.8",".",".",".",".",".",".","0.9","."
"","204
001","13","3.269","23.1","30.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","204
003","14","3.607","57.1","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","Course Total","27","3.444","40.7","22.2","25.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Compostn&Converstn","311
001","21","3.500","47.6","19.0","23.8",".",".","4.8",".","4.8",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","15","3.587","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","18","3.718","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","453
001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","453
002","13","4.000","84.6",".",".",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","Course Total","26","3.979","88.5","3.8",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
