"L&S","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","4222","3.320","30.2","26.8","22.6","7.9","4.2","0.9","1.0","4.1","0.0","0.9","",".","0.5","0.2","0.3","0.5","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","607","3.337","28.8","32.3","25.5","7.7","3.1","0.8","0.8","0.2",".",".","",".",".",".","0.3","0.3","."
"Sophomore","","825","3.344","29.3","31.4","25.2","8.4","4.4","0.7","0.4","0.2",".",".","",".",".",".",".",".","."
"Junior","","995","3.268","27.4","28.7","25.5","9.0","4.5","1.4","1.3","1.4",".",".","",".","0.1","0.1","0.3","0.1","."
"Senior","","1333","3.244","29.4","24.8","24.5","9.5","5.7","0.9","1.7","2.4","0.1",".","",".","0.1","0.3","0.5","0.1","0.2"
"Undergraduates","","3760","3.289","28.8","28.5","25.1","8.9","4.7","1.0","1.1","1.3","0.0",".","",".","0.1","0.1","0.3","0.1","0.1"
"Special","","80","3.642","18.8","10.0","2.5",".",".","1.3",".","56.3",".","2.5","",".",".",".","1.3","7.5","."
"Graduate","","380","3.857","46.1","13.4","2.1",".",".",".",".","20.8",".","8.9","",".","5.0","0.8",".","2.9","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","4222","3.320","30.2","26.8","22.6","7.9","4.2","0.9","1.0","4.1","0.0","0.9","",".","0.5","0.2","0.3","0.5","0.0"
