"ENVIR ST - GAYLORD NELSON I","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"523
Philos Prblms-Biol Sciences","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"537
Culture and Environment","001","","7","2.929","42.9",".","14.3","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"548
Environmental Aesthetics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"600","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","003","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"668
Green Pol:Glb Expr,Am Prosp","001","","15","3.714","40.0","53.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","3.957","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Fld Investigtn-Wetland Ecol","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Envr Monitoring Practicum I","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809
Energy Analys & Policy Smr","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"843
Land Use Policy & Planning","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","29","3.953","86.2","13.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Envr St Orient Fld Trip&Smr","001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"925
Seminar-Climatology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Envr Monitoring Seminar","001","","22","3.977","95.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975
Consrv Biol&Sustain Dev Smr","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 150 of 399",""
