"","999
074","4","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
088","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","999
095","2","***","","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","19","4.000","89.5",".",".",".",".",".","",".","5.3",".",".",".","5.3",".",".",".","."
"CURRIC
272","Dept. Total","2858","3.917","67.0","5.2","2.2","0.1","0.3","0.1","",".","3.0","0.1","20.3","0.1","0.3","0.6","0.1","0.5","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Sophomore","","54","3.858","83.3","7.4","9.3",".",".",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","452","3.903","66.8","8.4","2.4","0.2","0.2",".","",".",".",".","21.7",".",".","0.2",".",".","."
"Senior","","1621","3.915","63.5","4.9","2.0","0.1","0.5","0.1","",".","0.1",".","28.3","0.1",".","0.1","0.1",".","."
"Undergraduates","","2130","3.911","64.8","5.7","2.3","0.1","0.4","0.1","",".","0.0",".","26.2","0.1",".","0.1","0.1",".","."
"Special","","235","3.914","77.0","3.0","2.6","0.4",".",".","",".","4.7","0.9","9.8",".",".","1.7",".",".","."
"Graduate","","493","3.943","71.6","3.9","1.6",".","0.2",".","",".","15.2",".",".",".","2.0","2.2",".","3.0","0.2"
"","Dept. Total","2858","3.917","67.0","5.2","2.2","0.1","0.3","0.1","",".","3.0","0.1","20.3","0.1","0.3","0.6","0.1","0.5","0.0"
