"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","192","3.540","39.6","35.9","15.6","5.7","1.6",".",".","1.0",".",".",".",".","0.5",".",".","."
"","301
002","69","3.696","56.5","34.8","7.2",".",".",".","1.4",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","261","3.582","44.1","35.6","13.4","4.2","1.1",".","0.4","0.8",".",".",".",".","0.4",".",".","."
"","320
001","163","3.491","43.6","28.8","17.8","4.9","3.1",".","1.2",".",".",".",".",".",".",".",".","0.6"
"","320
002","154","3.539","37.0","42.2","13.6","4.5","0.6",".","0.6","1.3",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","317","3.514","40.4","35.3","15.8","4.7","1.9",".","0.9","0.6",".",".",".",".",".",".",".","0.3"
"Human Develop-Adolescence","321
001","107","3.818","79.4","14.0","2.8",".","2.8","0.9",".",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","60","3.347","26.7","36.7","23.3","8.3","1.7",".","1.7","1.7",".",".",".",".",".",".",".","."
"","521
001","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
002","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521
003","26","3.827","65.4","34.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","Course Total","73","3.870","74.0","26.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","3","***","","","","","","","","","","","","","","","",""
"Smr-Research in Ed Psych I","709
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","35","3.843","68.6","31.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
002","22","3.868","63.6","22.7",".",".",".",".",".","4.5",".",".",".",".","9.1",".",".","."
"","711
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
711","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","711
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
007","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
711","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","116","3.917","81.9","14.7",".",".",".",".",".","0.9",".",".",".",".","2.6",".",".","."
"","760
001","27","3.900","74.1","18.5",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"","760
002","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","52","3.890","76.9","17.3","1.9",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","23","3.727","69.6","4.3","17.4","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795
001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861
001","13","3.750","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Prevention Science","880
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Child Development","920
001","12","3.677","33.3","58.3",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Smr-Adolescent Development","001
921","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Intervention Techniques","946
001","8","4.000","75.0",".",".",".",".",".",".","12.5",".",".",".",".",".","12.5",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 93 of 399"
