"PORTUGUESE (SPANISH & POR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","",""
"","101
001","23","2.804","26.1","13.0","13.0","17.4","21.7","4.3","4.3",".",".",".",".",".",".",".",".","."
"","101
002","20","2.474","10.0","20.0","20.0","10.0","15.0","10.0","10.0",".",".",".",".",".",".","5.0",".","."
"","101
003","25","3.000","40.0","4.0","16.0","20.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","004
101","21","3.421","42.9","9.5","28.6",".","9.5",".",".","9.5",".",".",".",".",".",".",".","."
"","101
005","17","3.206","29.4","23.5","23.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"1st Semester Portuguese","Course Total","106","2.971","30.2","13.2","19.8","11.3","15.1","3.8","3.8","1.9",".",".",".",".",".","0.9",".","."
"","201
001","21","3.333","52.4","14.3","14.3","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","201
002","28","3.167","50.0","7.1","17.9","3.6","7.1","3.6","7.1",".",".",".",".",".",".","3.6",".","."
"3rd Semester Portuguese","Course Total","49","3.240","51.0","10.2","16.3","4.1","8.2","2.0","6.1",".",".",".",".",".",".","2.0",".","."
"3rd Yr Conversatn & Compositn","225
001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","311
001","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Port Lit since 1825","467
001","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Portuguese Literature","771
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","3","***","","","","","","","","","","","","","","","",""
