"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","203
011","23","3.174","43.5","4.3","34.8","4.3","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"","203
012","24","3.146","16.7","20.8","41.7","16.7","4.2",".",".",".",".",".",".",".",".",".",".","."
"","203
013","24","3.396","37.5","20.8","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","203
014","22","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
015","24","3.063","16.7","25.0","29.2","12.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"","016
203","23","3.095","17.4","30.4","21.7","4.3","13.0","4.3",".","8.7",".",".",".",".",".",".",".","."
"","203
017","20","2.975","20.0","15.0","25.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","018
203","21","3.381","33.3","19.0","42.9",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
019","24","3.500","45.8","16.7","33.3",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","020
203","24","3.104","16.7","29.2","37.5","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"","203
021","22","3.341","22.7","36.4","31.8","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
022","24","3.542","37.5","37.5","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","203
023","23","3.152","17.4","34.8","26.1","4.3","17.4",".",".",".",".",".",".",".",".",".",".","."
"","024
203","24","3.313","37.5","25.0","20.8","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","203
025","23","3.326","30.4","21.7","34.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"","203
026","20","3.075","40.0","5.0","30.0",".","20.0",".","5.0",".",".",".",".",".",".",".",".","."
"","027
203","15","3.700","73.3","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","605","3.231","26.9","25.1","31.2","6.8","6.8","2.1","0.7","0.3",".",".",".",".",".",".",".","."
"","204
001","24","3.283","16.7","33.3","33.3","12.5",".",".",".","4.2",".",".",".",".",".",".",".","."
"","204
002","21","3.310","28.6","28.6","23.8","14.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"","204
003","21","3.238","19.0","38.1","28.6","9.5",".","4.8",".",".",".",".",".",".",".",".",".","."
"","204
004","22","2.909","4.5","31.8","36.4","4.5","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","005
204","18","3.265","22.2","16.7","44.4","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","204
006","22","3.095","31.8","4.5","27.3","13.6","18.2",".",".","4.5",".",".",".",".",".",".",".","."
"","007
204","22","3.136","27.3","22.7","27.3","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","204
008","23","3.023","26.1","13.0","30.4","8.7","13.0",".","4.3","4.3",".",".",".",".",".",".",".","."
"","204
009","23","3.152","30.4","17.4","30.4","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","010
204","21","2.810","14.3","14.3","42.9","4.8","14.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"","204
011","20","3.395","30.0","35.0","25.0",".",".","5.0",".","5.0",".",".",".",".",".",".",".","."
"","204
012","22","3.182","36.4","18.2","22.7",".","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"","204
013","20","3.237","20.0","40.0","15.0","5.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"","204
014","23","3.239","30.4","17.4","34.8","4.3","13.0",".",".",".",".",".",".",".",".",".",".","."
"","204
015","13","1.923","7.7","7.7","23.1","7.7","23.1",".","30.8",".",".",".",".",".",".",".",".","."
"","016
204","18","2.889","33.3","11.1","22.2",".","22.2","5.6","5.6",".",".",".",".",".",".",".",".","."
"","204
017","21","3.286","23.8","38.1","19.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"","204
018","22","3.227","22.7","27.3","36.4",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","204
019","20","3.100","25.0","10.0","40.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","396","3.113","24.0","22.7","29.8","7.6","10.6","1.5","2.3","1.5",".",".",".",".",".",".",".","."
"","223
001","170","3.313","27.6","27.1","30.0","5.9","6.5","0.6",".","2.4",".",".",".",".",".",".",".","."
"","223
002","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","183","3.355","31.7","25.7","28.4","5.5","6.0","0.5",".","2.2",".",".",".",".",".",".",".","."
"","224
001","19","3.474","42.1","26.3","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","224
002","22","3.477","45.5","27.3","13.6","4.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","224
003","22","3.500","45.5","18.2","31.8",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","224
004","17","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
