"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","65","3.300","35.4","9.2","43.1","4.6","7.7",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","148","3.051","24.3","23.0","23.6","10.1","14.2","2.7","2.0",".",".",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","3.932","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Physiol-Domestic & Lab Animals","001","","35","2.971","22.9","14.3","28.6","14.3","14.3","5.7",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","43","2.929","23.3","23.3","16.3","14.0","11.6","4.7","4.7",".",".",".",".",".","2.3",".",".","."
"313","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"313","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","001","","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"431
Beef Cattle Production","001","","17","3.313","35.3","17.6","23.5","5.9","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"435
Animal Sciences Proseminar","001","","32","3.844","90.6","6.3",".",".",".",".","3.1",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Quantitative Genetics","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honor Thesis","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","21","3.791","81.0","4.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum-Animal Sci Tchng","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","20","3.890","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
