"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"300
002","10","3.625","30.0","40.0","10.0",".",".",".",".","20.0",".",".",".","",".","",".",".",".","."
"Course Total
Workshop-Physical Activity","32","3.477","21.9","37.5","3.1","3.1",".","3.1",".","28.1","3.1",".","",".","",".",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","10","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".","",".","",".",".",".","."
"310
001
Water Safety Instructor","18","3.833","55.6","27.8",".",".",".",".",".","16.7",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","13","3.438","15.4","23.1","23.1",".",".",".",".","38.5",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1655","3.236","31.6","19.2","11.4","3.2","5.8","2.0","0.8","24.4","0.3",".","",".","",".","0.2","0.2","0.9","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","221","2.693","15.8","20.8","23.1","5.9","20.4","8.1","1.4","4.5",".",".","",".","",".",".",".",".","."
"Sophomore","317","3.264","42.9","20.8","12.3","5.0","7.6","2.2","0.9","8.2",".",".","",".","",".",".",".",".","."
"Junior","250","3.364","43.6","20.8","10.4","1.6","4.4","1.2","1.6","15.2","0.4",".","",".","",".","0.4","0.4",".","."
"Senior","627","3.540","34.4","20.1","8.3","2.1","1.9","0.8","0.3","31.4","0.3",".","",".","",".","0.2","0.2",".","."
"Undergraduates","1415","3.229","35.1","20.5","11.9","3.3","6.5","2.3","0.8","19.2","0.2",".","",".","",".","0.1","0.1",".","."
"Special","104","3.533","9.6","10.6","4.8",".","1.0",".",".","56.7",".",".","",".","",".","1.0","1.9","14.4","."
"Graduate","109","3.212","12.8","11.9","12.8","6.4","2.8",".","0.9","50.5","1.8",".","",".","",".",".",".",".","."
"Prof Yr 1","6","3.833","33.3","16.7",".",".",".",".",".","50.0",".",".","",".","",".",".",".",".","."
"Prof Yr 2","4","3.500","25.0","25.0","25.0",".",".",".",".","25.0",".",".","",".","",".",".",".",".","."
"Prof Yr 3","16","3.500",".","6.3",".",".",".",".",".","93.8",".",".","",".","",".",".",".",".","."
"Prof Yr 4","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","27","3.625","11.1","14.8","3.7",".",".",".",".","70.4",".",".","",".","",".",".",".",".","."
"Dept. Total","1655","3.236","31.6","19.2","11.4","3.2","5.8","2.0","0.8","24.4","0.3",".","",".","",".","0.2","0.2","0.9","."
