"Summary by Level","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","1","3.500",".","100.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","4","3.885","75.0","25.0",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","9","3.750","66.7",".","22.2",".","",".","",".","",".",".","",".",".","",".",".","11.1",".",".","."
"Graduate","","86","3.643","23.3","2.3","5.8",".","",".","",".","",".","39.5","",".","27.9","",".","1.2",".",".",".","."
"Prof Yr 3","","6","3.800","50.0","33.3",".",".","",".","",".","",".",".","",".",".","",".","16.7",".",".",".","."
"Prof Yr 4","","6","3.944","83.3","16.7",".",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","12","3.893","66.7","25.0",".",".","",".","",".","",".",".","",".",".","",".","8.3",".",".",".","."
