"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","149","3.353","49.0","5.4","24.2","3.4","12.8","0.7","0.7","4.0",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","25","3.432","32.0","20.0","32.0",".","4.0",".",".","12.0",".",".",".",".",".",".",".","."
"Opera","105
001","","67","3.619","70.1","6.0","11.9","4.5","6.0","1.5",".",".",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","111
001","","24","3.370","29.2","37.5","25.0",".",".",".","4.2","4.2",".",".",".",".",".",".",".","."
"","002
111","","23","3.705","60.9","17.4","13.0","4.3",".",".",".",".","4.3",".",".",".",".",".",".","."
"Elements of Music","Course Total","","47","3.533","44.7","27.7","19.1","2.1",".",".","2.1","2.1","2.1",".",".",".",".",".",".","."
"Music in Performance","113
001","","501","3.960","87.0","3.2","1.0","0.2","0.4",".",".","8.2",".",".",".",".",".",".",".","."
"","121
001","","19","2.921","15.8","15.8","42.1","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","121
002","","34","3.235","8.8","38.2","44.1","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","","53","3.123","11.3","30.2","43.4","9.4","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","31","3.758","80.6","9.7",".",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"","171
101","","10","3.250","20.0","20.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
171","","9","3.278","22.2","44.4","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","103
171","","11","3.318","18.2","27.3","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
171","","11","3.545","18.2","72.7","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
105","","12","3.375","16.7","41.7","41.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","","53","3.358","18.9","41.5","34.0","3.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","","301","3.605","49.8","27.2","11.6","7.0","1.3",".",".","2.7",".",".",".",".",".",".","0.3","."
"Survey-Hist Western Music","211
001","","36","3.306","38.9","22.2","19.4",".","19.4",".",".",".",".",".",".",".",".",".",".","."
"","221
001","","18","3.444","27.8","38.9","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","","22","3.455","31.8","27.3","40.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","","40","3.450","30.0","32.5","35.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
002","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","265
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
267","","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","267
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","","34","3.956","97.1",".",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 261 of 399",""
