"INFORMATION SYSTEMS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","",""
"","365
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","26","3.760","57.7","30.8","7.7",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","Course Total","","41","3.750","58.5","29.3","9.8",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","422
001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Based Data Mgt","722
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
