"L&S","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","5727","2.979","23.9","15.1","26.7","8.2","16.0","3.2","1.9","4.6","0.0",".","",".","0.2","0.1","0.1","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1985","3.016","19.8","18.7","31.6","11.8","14.3","2.6","1.1",".",".",".","",".",".",".","0.1",".","."
"Sophomore","","1380","2.918","22.4","12.5","28.4","8.3","22.0","3.8","2.4","0.1",".",".","",".",".","0.1","0.1",".","."
"Junior","","988","2.882","24.9","14.8","27.9","7.1","17.4","4.9","2.8","0.1",".",".","",".",".",".",".",".","0.1"
"Senior","","750","2.881","29.3","13.5","24.0","6.3","19.5","4.0","3.3",".","0.1",".","",".",".",".",".",".","."
"Undergraduates","","5103","2.952","22.9","15.5","28.9","9.1","17.7","3.6","2.1","0.0","0.0",".","",".",".","0.0","0.1",".","0.0"
"Special","","64","3.238","42.2","18.8","15.6","4.7","12.5","1.6","3.1","1.6",".",".","",".",".",".",".",".","."
"Graduate","","714","3.681","46.2","8.3","5.7","0.4","0.3",".",".","36.3","0.1",".","",".","2.0","0.4",".","0.3","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Prof Yr 3","","6","3.600","66.7",".","33.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","7","3.600","57.1",".","28.6",".",".",".",".","14.3",".",".","",".",".",".",".",".","."
"","Dept. Total","5888","2.979","26.0","14.6","26.0","8.0","15.5","3.1","1.9","4.5","0.0",".","",".","0.2","0.1","0.1","0.0","0.0"
