"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","17","3.455","23.5","41.2","17.6","17.6",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","32","3.404","34.4","25.0","28.1","12.5",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","73","3.123","21.9","17.8","15.1","11.0","11.0","2.7","",".",".","",".","20.5","",".",".","",".",".",".","."
"Undergraduates","123","3.246","25.2","22.8","19.5","12.2","6.5","1.6","",".",".","",".","12.2","",".",".","",".",".",".","."
"Special","2","3.500",".","50.0",".",".",".",".","",".","50.0","",".",".","",".",".","",".",".",".","."
"Graduate","56","3.851","57.1","8.9","3.6",".",".",".","",".","8.9","",".",".","",".","21.4","",".",".",".","."
"Prof Yr 2","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".","",".",".",".","."
