"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","290","2.596","12.4","12.1","25.2","10.0","26.9","10.7","1.7","1.0",".",".",".",".",".",".",".","."
"","102
001","20","3.643","40.0","15.0","10.0","5.0",".",".",".","30.0",".",".",".",".",".",".",".","."
"","102
002","14","3.800","57.1",".","14.3",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","34","3.708","47.1","8.8","11.8","2.9",".",".",".","29.4",".",".",".",".",".",".",".","."
"","125
001","9","",".",".",".",".",".",".",".","88.9",".",".",".",".",".","11.1",".","."
"","125
002","23","4.000","8.7",".",".",".",".",".",".","69.6",".",".",".",".",".",".","21.7","."
"","125
003","24","",".",".",".",".",".",".",".","70.8",".",".",".",".",".",".","29.2","."
"","004
125","16","4.000","6.3",".",".",".",".",".",".","75.0",".",".",".",".",".",".","18.8","."
"Adapted Fitness&Pers Traing","Course Total","72","4.000","4.2",".",".",".",".",".",".","73.6",".",".",".",".",".","1.4","20.8","."
"","127
001","23","3.357","8.7","8.7","8.7","4.3",".",".",".","69.6",".",".",".",".",".",".",".","."
"","127
002","23","3.375","13.0","30.4","21.7","4.3",".",".",".","30.4",".",".",".",".",".",".",".","."
"","127
003","19","3.444","21.1","10.5","5.3","10.5",".",".",".","52.6",".",".",".",".",".",".",".","."
"Bowling I","Course Total","65","3.391","13.8","16.9","12.3","6.2",".",".",".","50.8",".",".",".",".",".",".",".","."
"","129
001","16","3.875","37.5","12.5",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","129
002","16","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","129
003","27","3.929","48.1",".","3.7",".",".",".",".","48.1",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","59","3.933","45.8","3.4","1.7",".",".",".",".","49.2",".",".",".",".",".",".",".","."
"","130
001","33","3.552","51.5","18.2",".","12.1","6.1",".",".","12.1",".",".",".",".",".",".",".","."
"","130
002","22","3.559","50.0","18.2",".","4.5",".",".","4.5","22.7",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","55","3.554","50.9","18.2",".","9.1","3.6",".","1.8","16.4",".",".",".",".",".",".",".","."
"","131
001","14","3.600","35.7","14.3","21.4",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","131
002","26","3.761","50.0","34.6","3.8",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"","131
003","8","3.429","62.5",".",".",".","25.0",".",".","12.5",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","48","3.663","47.9","22.9","8.3",".","4.2",".",".","16.7",".",".",".",".",".",".",".","."
"","132
001","20","3.559","45.0","25.0",".","10.0","5.0",".",".","15.0",".",".",".",".",".",".",".","."
"","132
002","26","3.292","11.5","26.9","3.8",".",".",".","3.8","50.0",".",".",".",".",".","3.8",".","."
"","132
003","24","3.432","16.7","45.8","29.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","132
004","18","3.875","50.0","16.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","132
005","17","4.000","23.5",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","."
"","132
006","14","3.667","28.6","28.6","7.1",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","132
007","23","3.625","43.5","30.4","4.3","8.7",".",".",".","8.7","4.3",".",".",".",".",".",".","."
"","132
008","17","3.875","70.6","23.5",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"Weight Training","Course Total","159","3.621","34.6","25.8","6.3","2.5","0.6",".","0.6","28.3","0.6",".",".",".",".","0.6",".","."
"","133
001","22","3.342","27.3","27.3","18.2","4.5","9.1",".",".","13.6",".",".",".",".",".",".",".","."
"","133
002","19","3.656","36.8","36.8","10.5",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","133
003","18","3.433","27.8","27.8","22.2",".","5.6",".",".","11.1",".",".",".",".",".","5.6",".","."
"","133
004","22","3.885","45.5","13.6",".",".",".",".",".","40.9",".",".",".",".",".",".",".","."
"","133
005","23","3.722","47.8","17.4","13.0",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","104","3.593","37.5","24.0","12.5","1.0","2.9",".",".","21.2",".",".",".",".",".","1.0",".","."
"","001
134","23","4.000","91.3",".",".",".",".",".",".","4.3",".",".",".",".","4.3",".",".","."
"","134
002","26","3.882","57.7",".","7.7",".",".",".",".","34.6",".",".",".",".",".",".",".","."
"","134
003","16","3.350","37.5","12.5",".","6.3",".",".","6.3","37.5",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","65","3.823","64.6","3.1","3.1","1.5",".",".","1.5","24.6",".",".",".",".","1.5",".",".","."
"","138
001","11","3.111","9.1","27.3","27.3","9.1","9.1",".",".","18.2",".",".",".",".",".",".",".","."
