"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"","100
050","18","2.944","33.3","22.2","11.1","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Freshman Composition","Course Total","864","3.425","35.6","32.2","22.3","5.6","2.7","0.7","0.8",".",".",".",".",".",".",".","0.1","."
"","110
001","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
002","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","110
003","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intensv English as 2nd Lang","Course Total","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
003","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"ESL: Grammar-Academic Use","Course Total","45","",".",".",".",".",".",".",".",".",".","97.8","2.2",".",".",".",".","."
"","116
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","13","",".",".",".",".",".",".",".",".",".","76.9","23.1",".",".",".",".","."
"","116
004","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","005
116","12","",".",".",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".","."
"ESL:Academc Readng&Vocablry","Course Total","73","",".",".",".",".",".",".",".",".",".","94.5","5.5",".",".",".",".","."
"","001
117","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","117
002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","16","",".",".",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".","."
"","117
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
006","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
008","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Academic Writing I","Course Total","103","",".",".",".",".",".",".",".",".",".","96.1","3.9",".",".",".",".","."
"","118
001","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","118
002","16","3.500","31.3","43.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".","6.3"
"","118
003","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","004
118","15","3.433","33.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","118
006","16","3.469","62.5","12.5","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","007
118","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
118","11","3.318","27.3","27.3","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"ESL: Academic Writing II","Course Total","108","3.491","39.8","31.5","19.4","6.5","0.9",".","0.9",".",".",".",".",".",".",".",".","0.9"
"","122
001","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
002","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","122
003","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL:Oral Communicatn Skills","Course Total","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Shakespeare","001
162","266","3.231","25.9","26.3","30.8","9.0","4.5","0.8","1.9","0.8",".",".",".",".",".",".",".","."
"Intro-Brit & Amer Lit pre-1914","167
001","178","3.130","14.6","34.8","29.8","11.2","5.6","2.2","1.1","0.6",".",".",".",".",".",".",".","."
"Intro to Modern Lit since 1900","168
001","263","3.285","18.6","29.7","41.8","8.0","1.1",".",".","0.8",".",".",".",".",".",".",".","."
"","001
169","148","3.169","14.9","31.8","35.1","10.8","3.4","0.7","1.4","2.0",".",".",".",".",".",".",".","."
"","002
169","213","3.280","35.2","16.9","29.6","9.4","5.6","1.4","0.9","0.5",".",".",".",".","0.5",".",".","."
"","169
003","294","3.216","23.8","26.5","29.3","11.6","6.1","1.4","0.3","1.0",".",".",".",".",".",".",".","."
"","004
169","35","3.600","54.3","28.6","14.3",".",".",".","2.9",".",".",".",".",".",".",".",".","."
