"ALS","","","","","","","","","","","","","","","","","","","",""
"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"MICROBIO
192","Dept. Total","1080","3.061","25.4","14.5","24.8","9.4","12.3","1.3","1.3","10.3","0.1",".","",".","0.4","0.1",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.000",".",".","50.0",".",".","50.0",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","121","2.721","14.0","14.9","19.0","22.3","25.6","0.8","2.5",".",".",".","",".",".",".",".","0.8","."
"Junior","","270","3.017","24.4","18.5","25.9","11.5","16.3","1.1","1.9",".",".",".","",".",".","0.4",".",".","."
"Senior","","438","3.082","29.0","15.1","31.7","8.4","11.9","2.1","1.4",".",".",".","",".","0.5",".",".",".","."
"Undergraduates","","831","3.003","25.3","16.1","28.0","11.4","15.3","1.7","1.7",".",".",".","",".","0.2","0.1",".","0.1","."
"Special","","17","3.245","41.2","11.8","17.6","17.6","11.8",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","225","3.462","23.6","8.9","13.8","1.3","1.8",".",".","49.3","0.4",".","",".","0.9",".",".",".","."
"Prof Yr 1","","5","3.400","40.0","20.0","20.0","20.0",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".","",".",".",".",".",".","."
"","Dept. Total","1080","3.061","25.4","14.5","24.8","9.4","12.3","1.3","1.3","10.3","0.1",".","",".","0.4","0.1",".","0.1","."
