"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Principles of Statistics","201
001","50","2.633","22.0","2.0","28.0","6.0","28.0","8.0","4.0",".",".",".",".",".",".",".","2.0","."
"","224
001","71","2.824","19.7","8.5","28.2","15.5","22.5","5.6",".",".",".",".",".",".",".",".",".","."
"","224
002","30","3.067","16.7","36.7","16.7","16.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","224
003","78","2.596","16.7","9.0","17.9","20.5","25.6","5.1","5.1",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","179","2.765","17.9","13.4","21.8","17.9","21.2","5.6","2.2",".",".",".",".",".",".",".",".","."
"","301
001","109","3.190","31.2","13.8","30.3","12.8","10.1",".","0.9","0.9",".",".",".",".",".",".",".","."
"","002
301","81","2.679","19.8","6.2","29.6","1.2","34.6","6.2","2.5",".",".",".",".",".",".",".",".","."
"","003
301","93","3.291","43.0","20.4","16.1","6.5","5.4","3.2","3.2","1.1","1.1",".",".",".",".",".",".","."
"","301
004","86","2.759","22.1","8.1","25.6","16.3","16.3","5.8","4.7",".",".",".",".",".",".","1.2",".","."
"","301
005","82","3.085","34.1","13.4","23.2","11.0","12.2","3.7","2.4",".",".",".",".",".",".",".",".","."
"","006
301","88","2.920","25.0","13.6","19.3","27.3","8.0","2.3","4.5",".",".",".",".",".",".",".",".","."
"","301
007","88","3.375","38.6","30.7","15.9","3.4","8.0","3.4",".",".",".",".",".",".",".",".",".","."
"","301
008","13","2.962","15.4","15.4","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".","."
"","301
009","40","2.713","22.5","12.5","20.0","5.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","680","3.032","30.0","15.1","22.9","11.2","14.1","3.4","2.6","0.3","0.1",".",".",".",".","0.1",".","."
"Intro to Math Statistics","001
309","30","3.117","26.7","30.0","16.7","13.3","6.7","3.3","3.3",".",".",".",".",".",".",".",".","."
"","311
001","40","2.725","10.0","25.0","22.5","15.0","12.5","15.0",".",".",".",".",".",".",".",".",".","."
"","002
311","66","2.915","24.2","19.7","21.2","12.1","9.1","9.1","3.0",".",".",".",".",".",".","1.5",".","."
"Intro to Mathematical Stat","Course Total","106","2.843","18.9","21.7","21.7","13.2","10.4","11.3","1.9",".",".",".",".",".",".","0.9",".","."
"Intro to Mathematical Stat","312
001","49","3.135","24.5","22.4","24.5","12.2","12.2","2.0",".","2.0",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","34","3.318","32.4","17.6","29.4","14.7","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","31","3.817","67.7","22.6","6.5",".",".",".",".",".",".",".",".",".",".","3.2",".","."
"","371
001","100","3.429","46.0","33.0","10.0","2.0","1.0","3.0","4.0",".",".",".",".",".",".","1.0",".","."
"","371
002","89","3.176","28.1","21.3","23.6","15.7","6.7","3.4",".",".",".",".",".",".",".","1.1",".","."
"Intro Applied Stats-Life Sci","Course Total","189","3.310","37.6","27.5","16.4","8.5","3.7","3.2","2.1",".",".",".",".",".",".","1.1",".","."
"Intro-Survey Theory & Meths","411
001","26","3.404","38.5","26.9","26.9",".","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","34","3.368","29.4","35.3","26.5","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"","431
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","2","***","","","","","","","","","","","","","","","",""
"","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Combinatorics","Course Total","2","***","","","","","","","","","","","","","","","",""
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","541
001","36","3.400","58.3","5.6","13.9","11.1","2.8","2.8","2.8",".",".",".",".",".","2.8",".",".","."
"","541
002","16","3.700","50.0","31.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Intro to Biostatistics","Course Total","52","3.490","55.8","13.5","13.5","7.7","1.9","1.9","1.9","1.9",".",".",".",".","1.9",".",".","."
"","001
571","53","3.490","30.2","35.8","32.1",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","002
571","51","3.553","33.3","35.3","23.5",".",".",".",".","2.0",".",".","2.0",".",".",".","3.9","."
"Stat Meth for Bioscience I","Course Total","104","3.520","31.7","35.6","27.9",".",".",".",".","1.9",".",".","1.0",".",".",".","1.9","."
"Statistical Meths-Spatial Data","575
001","8","3.800","37.5","25.0",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","34","3.588","47.1","41.2","8.8",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
