"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110
Intro to Communicative Dis","001","","167","3.497","49.1","16.2","22.8","3.0","3.6","1.2","0.6","3.0",".",".",".",".",".",".",".","0.6"
"201
Speech Science","001","","95","2.737","10.5","18.9","24.2","18.9","21.1","3.2","3.2",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","92","3.418","37.0","28.3","21.7","9.8","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","117","3.201","39.3","16.2","17.9","15.4","4.3","5.1","1.7",".",".",".",".",".",".",".",".","."
"303
Speech Acoustics,Perception","001","","47","3.383","46.8","23.4","14.9","6.4","2.1","4.3","2.1",".",".",".",".",".",".",".",".","."
"315
Speech Pathology I","001","","62","3.762","67.7","17.7","9.7","3.2",".",".",".","1.6",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","37","3.743","59.5","29.7","10.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Manually Coded English-SL I","001","","38","3.724","68.4","23.7","5.3",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","36","3.431","25.0","41.7","30.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"503
Neurl Mech Speech,Hear&Lang","001","","23","3.804","73.9","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"631
Intro-Augmentative Commun","001","","33","3.821","60.6","18.2","6.1",".",".",".",".","15.2",".",".",".",".",".",".",".","."
"640
Lang&Learn Disordrs-Childrn","001","","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"School Practicum in Com Dis","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","10","3.704","90.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"717
Mgt&Assessmt-Voice Disorder","001","","21","3.900","81.0","9.5","4.8",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"719
The Treatment of Stuttering","001","","32","3.797","59.4","40.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Aug Com Sys-Severly Handcp","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","21","3.946","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","47","3.917","87.2","6.4","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
