"COMPARATIVE BIOSCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","",""
"Fund Principles-Vet Anatomy","500
001","81","3.130","29.6","16.0","28.4","9.9","12.3","3.7",".",".",".",".",".",".",".",".",".","."
"Veterinary Histology","501
001","81","3.185","14.8","43.2","23.5","11.1","2.5","4.9",".",".",".",".",".",".",".",".",".","."
"Veterinary Develomntl Anat","503
001","81","3.074","21.0","32.1","13.6","19.8","9.9","1.2","2.5",".",".",".",".",".",".",".",".","."
"Veterinary Physiology A","551
001","82","2.951","18.3","11.0","45.1","3.7","18.3","2.4","1.2",".",".",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Externship","775
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"COMP BIO
934","Dept. Total","330","3.101","21.8","25.2","27.3","10.9","10.6","3.0","0.9","0.3",".",".",".",".",".",".",".","."
