"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Spatial Measurements","251","001","","50","3.380","30.0","36.0","22.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301","001","","30","2.621","13.3","6.7","13.3","20.0","43.3",".",".",".",".",".",".",".",".",".",".","3.3"
"Elec-op&Micro Remote Sensng","302","001","","18","3.028","38.9","16.7","5.6","11.1","22.2",".","5.6",".",".",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303","001","","13","3.269","38.5","30.8","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304","001","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Fundmnt Comput-Land Inf Sys","307","001","","15","3.133","26.7","26.7","13.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"Spatl Framewk-Land Info Sys","308","001","","28","2.911","32.1","7.1","25.0","10.7","10.7","14.3",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","61","2.381","8.2","4.9","19.7","23.0","24.6","14.8","1.6","1.6",".",".",".",".",".",".","1.6","."
"Hydroscience","311","001","","41","2.988","14.6","22.0","36.6","14.6","7.3","2.4","2.4",".",".",".",".",".",".",".",".","."
"Hydrology","315","001","","23","3.370","39.1","17.4","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","001","","62","2.935","19.4","3.2","48.4","6.5","21.0","1.6",".",".",".",".",".",".",".",".",".","."
"","330","001","","39","2.385","2.6",".","20.5","35.9","35.9","5.1",".",".",".",".",".",".",".",".",".","."
"","330","002","","18","2.694","11.1","11.1","22.2","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","","Course Total","","57","2.482","5.3","3.5","21.1","33.3","31.6","5.3",".",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","65","3.422","30.8","30.8","29.2","6.2","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"Intro to Geographc Info Sys","357","001","","14","3.179","21.4","35.7","35.7",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Transportation Engineering","370","001","","48","2.896","16.7","6.3","41.7","18.8","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372","001","","10","2.900","20.0","10.0","20.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Matrl-Constructd Facilities","395","001","","32","3.250","28.1","34.4","18.8","9.4","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Geom Anal-Vert Aerial Photo","403","001","","6","3.250","50.0","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Elements-Public Health Engr","422","001","","19","3.368","26.3","21.1","52.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","428","001","","14","3.536","42.9","21.4","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Structural Analysis II","440","001","","26","3.288","30.8","23.1","23.1","19.2","3.8",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures I","445","001","","34","2.882","14.7","5.9","55.9",".","17.6","5.9",".",".",".",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","22","2.864","18.2","13.6","22.7","22.7","18.2","4.5",".",".",".",".",".",".",".",".",".","."
"Legal Aspects-Engineering","491","001","","39","3.462","48.7","23.1","15.4","7.7","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Mech Systems for Construction","497","001","","30","3.724","50.0","40.0","6.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"","498","001","","22","3.952","86.4","9.1",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","498","002","","21","3.714","52.4","38.1","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Constructn Project Managmnt","","Course Total","","43","3.833","69.8","23.3","4.7",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Water Chemistry","500","001","","23","3.636","47.8","26.1","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Water Analysis-Intermediate","501","001","","26","3.385","30.8","30.8","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Water Anal Intermediate Lab","503","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retaining Structures","531","001","","12","3.167","33.3","25.0","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Concrete Structures II","547","001","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Transport Planning","571","001","","28","3.679","50.0","39.3","7.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Traffic Control","574","001","","19","3.184","36.8","15.8","26.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"Adv Highway Matl&Constructn","575","001","","10","3.300","40.0","40.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Senior Capstone Design","578","001","","41","3.890","82.9","12.2","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
