"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","210","2.873","19.5","12.9","33.3","12.4","13.3","3.8","3.8","0.5",".",".",".",".",".","0.5",".","."
"","002
300","213","2.908","21.6","11.3","32.4","12.7","16.4","3.3","2.3",".",".",".",".",".",".",".",".","."
"","010
300","129","2.762","20.9","7.8","31.8","10.1","18.6","5.4","4.7","0.8",".",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","552","2.861","20.7","11.1","32.6","12.0","15.8","4.0","3.4","0.4",".",".",".",".",".","0.2",".","."
"","305
001","68","3.761","70.6","16.2","7.4","1.5","2.9",".",".","1.5",".",".",".",".",".",".",".","."
"","305
002","70","3.593","57.1","21.4","14.3","2.9","2.9",".","1.4",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","138","3.675","63.8","18.8","10.9","2.2","2.9",".","0.7","0.7",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","11","3.700","45.5","36.4","9.1",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","399
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
148","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","3","***","","","","","","","","","","","","","","","",""
"Global Issues in Management","403
001","20","3.575","40.0","45.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","420
001","32","3.563","46.9","28.1","15.6","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","38","3.737","71.1","21.1","5.3",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","70","3.657","60.0","24.3","10.0","4.3",".",".","1.4",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","27","3.611","40.7","44.4","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","423
001","38","3.776","60.5","34.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Organizational Issues","470
001","15","3.667","40.0","53.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","16","3.900","75.0","18.8",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","613
001","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","12","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","13","3.154","30.8","15.4","30.8",".","23.1",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","703
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","722
001","32","3.567","43.8","31.3","9.4","6.3","3.1",".",".","6.3",".",".",".",".",".",".",".","."
"Strategc Mgmt-Innovatn&Tech","725
030","38","3.750","55.3","39.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurl Growth Strategy","727
001","17","3.676","35.3","64.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","47","3.766","66.0","21.3","12.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Management Consulting","731
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"WAVE Practicum I","737
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","18","3.875","66.7","22.2",".",".",".",".",".","5.6",".",".",".",".","5.6",".",".","."
"","765
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","28","3.923","78.6","14.3",".",".",".",".",".","3.6",".",".",".",".","3.6",".",".","."
"Seminar-Arts Administration","773
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
204","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth-Management I","835
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Administrative Policy","870
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Doctoral Rsch Smr in Mgmt","975
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 58 of 399"
