"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"105","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","4","***","","","","","","","","","","","","","","","",""
"411
Psychosoc & Mgmt Aspects-Pharm","001","","130","3.681","53.8","32.3","10.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","17","2.706","5.9",".","58.8",".","35.3",".",".",".",".",".",".",".",".",".",".","."
"622
Prosem in Social & Admin Pharm","001","","9","3.789","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"630
Pharm Finance&Reimbursement","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Pharmaceuticl Marketing&Policy","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","8","",".",".",".",".",".",".",".","87.5","12.5",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
