"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","23","3.455","43.5","26.1","21.7",".",".",".","4.3","4.3",".","",".",".","",".","",".","",".",".","."
"Amer Indians in Higher Educ","150
001","14","3.615","50.0","21.4","14.3","7.1",".",".",".",".",".","",".",".","",".","",".","",".",".","7.1"
"Intro to Lit of Native America","172
001","126","3.262","19.0","33.3","28.6","12.7","2.4","0.8",".","3.2",".","",".",".","",".","",".","",".",".","."
"First Semester Ojibwe","301
001","36","3.470","38.9","22.2","22.2","2.8","5.6",".",".","8.3",".","",".",".","",".","",".","",".",".","."
"Indians of North America","314
001","54","2.942","14.8","25.9","25.9","11.1","11.1","5.6","1.9","3.7",".","",".",".","",".","",".","",".",".","."
"Survey-N Amer Indian Languages","371
001","7","3.714","42.9","57.1",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
001","4","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","450
003","10","3.800","60.0","40.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".","."
"","450
004","24","3.354","25.0","45.8","25.0",".",".",".","4.2",".",".","",".",".","",".","",".","",".",".","."
"","005
450","18","3.281","38.9","22.2","5.6","5.6","11.1","5.6",".","11.1",".","",".",".","",".","",".","",".",".","."
"Issues in Amer Ind Studies","Course Total","56","3.454","39.3","35.7","12.5","1.8","3.6","1.8","1.8","3.6","",".",".","",".","",".","",".",".",".","."
"","699
003","3","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
004","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","","","","","",""
"AMER IND
140","Dept. Total","320","3.302","28.4","30.6","22.5","7.8","4.1","1.6","0.9","3.8","",".",".","",".","",".","",".",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","70","3.343","31.4","30.0","22.9","10.0","4.3",".",".",".","",".",".","",".","",".","",".",".",".","1.4"
"Sophomore","","79","3.327","26.6","34.2","26.6","7.6","1.3","1.3","1.3","1.3","",".",".","",".","",".","",".",".",".","."
"Junior","","71","3.239","22.5","36.6","19.7","7.0","8.5","2.8",".","2.8","",".",".","",".","",".","",".",".",".","."
"Senior","","96","3.278","30.2","25.0","21.9","7.3","3.1","2.1","2.1","8.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","316","3.295","27.8","31.0","22.8","7.9","4.1","1.6","0.9","3.5","",".",".","",".","",".","",".",".",".","0.3"
"Special","","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","320","3.302","28.4","30.6","22.5","7.8","4.1","1.6","0.9","3.8","",".",".","",".","",".","",".",".",".","0.3"
